Block_Name,Sample_Size,Avg_Time_us,Throughput_MSps
"MultiplyConst<float>",2000000,24493.00,81.6560
"MultiplyConst<float>",4000000,25405.20,157.4481
"MultiplyConst<float>",6000000,34434.95,174.2416
"MultiplyConst<float>",8000000,44580.50,179.4507
"MultiplyConst<float>",10000000,54630.55,183.0478
"MultiplyConst<float>",12000000,64312.20,186.5898
"MultiplyConst<float>",14000000,75118.00,186.3734
"MultiplyConst<float>",16000000,85062.15,188.0978
"MultiplyConst<float>",18000000,94124.45,191.2362
"MultiplyConst<float>",20000000,103248.35,193.7077
"AddConst<float>",2000000,14701.60,136.0396
"AddConst<float>",4000000,25053.30,159.6596
"AddConst<float>",6000000,34620.50,173.3077
"AddConst<float>",8000000,44728.15,178.8583
"AddConst<float>",10000000,54548.25,183.3239
"AddConst<float>",12000000,64628.50,185.6766
"AddConst<float>",14000000,73966.00,189.2762
"AddConst<float>",16000000,85567.20,186.9875
"AddConst<float>",18000000,94156.80,191.1705
"AddConst<float>",20000000,103603.65,193.0434
"SubtractConst<float>",2000000,14600.85,136.9783
"SubtractConst<float>",4000000,26089.25,153.3199
"SubtractConst<float>",6000000,35139.55,170.7478
"SubtractConst<float>",8000000,44418.25,180.1062
"SubtractConst<float>",10000000,60792.70,164.4934
"SubtractConst<float>",12000000,64722.75,185.4062
"SubtractConst<float>",14000000,76947.20,181.9429
"SubtractConst<float>",16000000,90133.00,177.5154
"SubtractConst<float>",18000000,100386.20,179.3075
"SubtractConst<float>",20000000,103530.80,193.1792
"DivideConst<float>",2000000,15492.45,129.0951
"DivideConst<float>",4000000,26935.05,148.5054
"DivideConst<float>",6000000,37270.85,160.9837
"DivideConst<float>",8000000,47952.30,166.8325
"DivideConst<float>",10000000,58783.05,170.1171
"DivideConst<float>",12000000,70794.80,169.5040
"DivideConst<float>",14000000,80130.95,174.7140
"DivideConst<float>",16000000,90905.70,176.0066
"DivideConst<float>",18000000,101799.15,176.8188
"DivideConst<float>",20000000,114096.15,175.2908
"MultiplyConst<complex<float>>",2000000,22148.60,90.2992
"MultiplyConst<complex<float>>",4000000,36981.00,108.1637
"MultiplyConst<complex<float>>",6000000,53399.40,112.3608
"MultiplyConst<complex<float>>",8000000,68351.05,117.0428
"MultiplyConst<complex<float>>",10000000,87037.30,114.8933
"MultiplyConst<complex<float>>",12000000,100232.40,119.7218
"MultiplyConst<complex<float>>",14000000,115388.75,121.3290
"MultiplyConst<complex<float>>",16000000,135185.80,118.3556
"MultiplyConst<complex<float>>",18000000,147064.65,122.3952
"MultiplyConst<complex<float>>",20000000,161912.35,123.5236
"AddConst<complex<float>>",2000000,22676.15,88.1984
"AddConst<complex<float>>",4000000,33213.20,120.4340
"AddConst<complex<float>>",6000000,47042.35,127.5446
"AddConst<complex<float>>",8000000,60716.15,131.7607
"AddConst<complex<float>>",10000000,74267.60,134.6482
"AddConst<complex<float>>",12000000,90743.25,132.2412
"AddConst<complex<float>>",14000000,101357.20,138.1254
"AddConst<complex<float>>",16000000,115251.70,138.8266
"AddConst<complex<float>>",18000000,132223.50,136.1331
"AddConst<complex<float>>",20000000,142421.50,140.4282
"Rotator<complex<float>>",2000000,50895.45,39.2962
"Rotator<complex<float>>",4000000,96777.35,41.3320
"Rotator<complex<float>>",6000000,140594.30,42.6760
"Rotator<complex<float>>",8000000,192197.25,41.6239
"Rotator<complex<float>>",10000000,234228.90,42.6933
"Rotator<complex<float>>",12000000,276364.75,43.4209
"Rotator<complex<float>>",14000000,321985.55,43.4802
"Rotator<complex<float>>",16000000,366841.00,43.6156
"Rotator<complex<float>>",18000000,410798.45,43.8171
"Rotator<complex<float>>",20000000,457515.45,43.7144
"fir_filter<float>",2000000,97243.75,20.5669
"fir_filter<float>",4000000,189980.45,21.0548
"fir_filter<float>",6000000,282477.50,21.2406
"fir_filter<float>",8000000,375613.35,21.2985
"fir_filter<float>",10000000,470378.55,21.2595
"fir_filter<float>",12000000,559679.15,21.4409
"fir_filter<float>",14000000,651902.50,21.4756
"fir_filter<float>",16000000,745195.75,21.4709
"fir_filter<float>",18000000,845074.65,21.2999
"fir_filter<float>",20000000,932103.20,21.4569
"iir_filter<float>",2000000,46149.25,43.3376
"iir_filter<float>",4000000,89758.90,44.5638
"iir_filter<float>",6000000,128263.40,46.7787
"iir_filter<float>",8000000,169813.65,47.1105
"iir_filter<float>",10000000,212064.65,47.1554
"iir_filter<float>",12000000,253681.70,47.3034
"iir_filter<float>",14000000,294711.55,47.5041
"iir_filter<float>",16000000,336292.45,47.5776
"iir_filter<float>",18000000,377099.05,47.7328
"iir_filter<float>",20000000,417243.10,47.9337
"Decimator<float>",2000000,19966.55,100.1675
"Decimator<float>",4000000,30647.10,130.5181
"Decimator<float>",6000000,43563.00,137.7316
"Decimator<float>",8000000,56184.50,142.3880
"Decimator<float>",10000000,69315.70,144.2675
"Decimator<float>",12000000,91698.80,130.8632
"Decimator<float>",14000000,98730.25,141.8005
"Decimator<float>",16000000,113211.70,141.3281
"Decimator<float>",18000000,121995.50,147.5464
"Decimator<float>",20000000,133615.85,149.6828
"SavitzkyGolayFilter<float>",2000000,38658.30,51.7353
"SavitzkyGolayFilter<float>",4000000,72216.40,55.3891
"SavitzkyGolayFilter<float>",6000000,106574.25,56.2988
"SavitzkyGolayFilter<float>",8000000,140022.60,57.1336
"SavitzkyGolayFilter<float>",10000000,173431.25,57.6597
"SavitzkyGolayFilter<float>",12000000,212140.00,56.5664
"SavitzkyGolayFilter<float>",14000000,246744.40,56.7389
"SavitzkyGolayFilter<float>",16000000,276563.70,57.8529
"SavitzkyGolayFilter<float>",18000000,311586.25,57.7689
"SavitzkyGolayFilter<float>",20000000,353854.25,56.5204
"Delay<float>",2000000,14697.65,136.0762
"Delay<float>",4000000,25488.35,156.9344
"Delay<float>",6000000,42148.00,142.3555
"Delay<float>",8000000,46035.20,173.7801
"Delay<float>",10000000,58023.15,172.3450
"Delay<float>",12000000,63263.75,189.6821
"Delay<float>",14000000,73860.55,189.5464
"Delay<float>",16000000,83306.55,192.0617
"Delay<float>",18000000,92619.90,194.3427
"Delay<float>",20000000,103688.00,192.8864
