Samples Consumed,Avg Time (us),Items Produced
2000000,17376,2000000
4000000,28161.9,4000000
6000000,39439,6000000
8000000,51142.8,8000000
10000000,64794.3,10000000
12000000,77233.3,12000000
14000000,88095,14000000
16000000,96518.1,16000000
18000000,103653,18000000
20000000,113415,20000000
22000000,122698,22000000
24000000,135547,24000000
26000000,145465,26000000
28000000,155798,28000000
30000000,166621,30000000
32000000,177737,32000000
34000000,186904,34000000
36000000,195666,36000000
38000000,210385,38000000
40000000,219484,40000000
