cell,exit,verdict,decoded,frames,wrong_payload,first_divergence
BPSK_1_2_10,0,PASS,200,200,0,-
BPSK_1_2_100,0,PASS,200,200,0,-
BPSK_1_2_1000,0,PASS,200,200,0,-
BPSK_1_2_1472,0,PASS,200,200,0,-
BPSK_1_2_1500,0,PASS,200,200,0,-
BPSK_1_2_4,0,PASS,200,200,0,-
BPSK_1_2_500,0,PASS,200,200,0,-
BPSK_3_4_10,0,PASS,200,200,0,-
BPSK_3_4_100,0,PASS,200,200,0,-
BPSK_3_4_1000,0,PASS,200,200,0,-
BPSK_3_4_1472,0,PASS,200,200,0,-
BPSK_3_4_1500,0,PASS,200,200,0,-
BPSK_3_4_4,0,PASS,193,200,0,-
BPSK_3_4_500,0,PASS,200,200,0,-
QAM16_1_2_10,0,PASS,200,200,0,-
QAM16_1_2_100,0,PASS,200,200,0,-
QAM16_1_2_1000,0,PASS,200,200,0,-
QAM16_1_2_1472,0,PASS,200,200,0,-
QAM16_1_2_1500,0,PASS,200,200,0,-
QAM16_1_2_4,0,PASS,200,200,0,-
QAM16_1_2_500,0,PASS,200,200,0,-
QAM16_3_4_10,0,PASS,200,200,0,-
QAM16_3_4_100,0,PASS,200,200,0,-
QAM16_3_4_1000,0,PASS,200,200,0,-
QAM16_3_4_1472,0,PASS,200,200,0,-
QAM16_3_4_1500,0,PASS,200,200,0,-
QAM16_3_4_4,0,PASS,193,200,0,-
QAM16_3_4_500,0,PASS,200,200,0,-
QAM64_2_3_10,0,PASS,200,200,0,-
QAM64_2_3_100,0,PASS,200,200,0,-
QAM64_2_3_1000,0,PASS,200,200,0,-
QAM64_2_3_1472,0,PASS,200,200,0,-
QAM64_2_3_1500,0,PASS,200,200,0,-
QAM64_2_3_4,0,PASS,200,200,0,-
QAM64_2_3_500,0,PASS,200,200,0,-
QAM64_3_4_10,0,PASS,200,200,0,-
QAM64_3_4_100,0,PASS,200,200,0,-
QAM64_3_4_1000,0,PASS,200,200,0,-
QAM64_3_4_1472,0,PASS,200,200,0,-
QAM64_3_4_1500,0,PASS,200,200,0,-
QAM64_3_4_4,0,PASS,200,200,0,-
QAM64_3_4_500,0,PASS,200,200,0,-
QPSK_1_2_10,0,PASS,200,200,0,-
QPSK_1_2_100,0,PASS,200,200,0,-
QPSK_1_2_1000,0,PASS,200,200,0,-
QPSK_1_2_1472,0,PASS,200,200,0,-
QPSK_1_2_1500,0,PASS,200,200,0,-
QPSK_1_2_4,0,PASS,200,200,0,-
QPSK_1_2_500,0,PASS,200,200,0,-
QPSK_3_4_10,0,PASS,200,200,0,-
QPSK_3_4_100,0,PASS,200,200,0,-
QPSK_3_4_1000,0,PASS,200,200,0,-
QPSK_3_4_1472,0,PASS,200,200,0,-
QPSK_3_4_1500,0,PASS,200,200,0,-
QPSK_3_4_4,0,PASS,193,200,0,-
QPSK_3_4_500,0,PASS,200,200,0,-
edge,0,PASS,8,8,0,-
long_BPSK_1_2_100,0,PASS,4200,4200,0,-
