chain,chunk,first_sample,samples,nominal_ns,written_ns,retries
0,0,0,1024,92454026890745,92454026891992,0
0,1,1024,1024,92454027235991,92454027236813,0
0,2,2048,1024,92454027581237,92454027581895,0
0,3,3072,1024,92454027926483,92454027927156,0
0,4,4096,1024,92454028271728,92454028272429,0
0,5,5120,1024,92454028616974,92454028617610,0
0,6,6144,1024,92454028962220,92454028962982,0
0,7,7168,1024,92454029307466,92454029308253,0
0,8,8192,1024,92454029652711,92454029653455,0
0,9,9216,1024,92454029997957,92454029998716,0
0,10,10240,1024,92454030343203,92454030343889,0
0,11,11264,1024,92454030688449,92454030689230,0
0,12,12288,1024,92454031033695,92454031034472,0
0,13,13312,1024,92454031378940,92454031379753,0
0,14,14336,1024,92454031724186,92454031724895,0
0,15,15360,1024,92454032069432,92454032070116,0
0,16,16384,1024,92454032414678,92454032415109,0
0,17,17408,1024,92454032759923,92454032760360,0
0,18,18432,1024,92454033105169,92454033105602,0
0,19,19456,1024,92454033450415,92454033450833,0
0,20,20480,1024,92454033795661,92454033796075,0
0,21,21504,1024,92454034140907,92454034141376,0
0,22,22528,1024,92454034486152,92454034486558,0
0,23,23552,1024,92454034831398,92454034831970,0
0,24,24576,1024,92454035176644,92454035177052,0
0,25,25600,1024,92454035521890,92454035522273,0
0,26,26624,1024,92454035867135,92454035867545,0
0,27,27648,1024,92454036212381,92454036212826,0
0,28,28672,1024,92454036557627,92454036558048,0
0,29,29696,1024,92454036902873,92454036903280,0
0,30,30720,1024,92454037248118,92454037248512,0
0,31,31744,1024,92454037593364,92454037593763,0
0,32,32768,1024,92454037938610,92454037939085,0
0,33,33792,1024,92454038283856,92454038284266,0
0,34,34816,1024,92454038629102,92454038629498,0
0,35,35840,1024,92454038974347,92454038974760,0
0,36,36864,1024,92454039319593,92454039320012,0
0,37,37888,1024,92454039664839,92454039665323,0
0,38,38912,1024,92454040010085,92454040010465,0
0,39,39936,1024,92454040355330,92454040355736,0
0,40,40960,1024,92454040700576,92454040700948,0
0,41,41984,1024,92454041045822,92454041046360,0
0,42,43008,1024,92454041391068,92454041391492,0
0,43,44032,1024,92454041736314,92454041736833,0
0,44,45056,1024,92454042081559,92454042082245,0
0,45,46080,1024,92454042426805,92454042427326,0
0,46,47104,1024,92454042772051,92454042772568,0
0,47,48128,1024,92454043117297,92454043117980,0
0,48,49152,1024,92454043462542,92454043463202,0
0,49,50176,1024,92454043807788,92454043808343,0
0,50,51200,1024,92454044153034,92454044153425,0
0,51,52224,1024,92454044498280,92454044498756,0
0,52,53248,1024,92454044843525,92454044843928,0
0,53,54272,1024,92454045188771,92454045189309,0
0,54,55296,1024,92454045534017,92454045534432,0
0,55,56320,1024,92454045879263,92454045879933,0
0,56,57344,1024,92454046224509,92454046225005,0
0,57,58368,1024,92454046569754,92454046570286,0
0,58,59392,1024,92454046915000,92454046915418,0
0,59,60416,1024,92454047260246,92454047260750,0
0,60,61440,1024,92454047605492,92454047606102,0
0,61,62464,1024,92454047950737,92454047951203,0
0,62,63488,1024,92454048295983,92454048296765,0
0,63,64512,1024,92454048641229,92454048641716,0
0,64,65536,1024,92454048986475,92454048987088,0
0,65,66560,1024,92454049331721,92454049332319,0
0,66,67584,1024,92454049676966,92454049677372,0
0,67,68608,1024,92454050022212,92454050022733,0
0,68,69632,1024,92454050367458,92454050367925,0
0,69,70656,1024,92454050712704,92454050713346,0
0,70,71680,1024,92454051057949,92454051058388,0
0,71,72704,1024,92454051403195,92454051403599,0
0,72,73728,1024,92454051748441,92454051749042,0
0,73,74752,1024,92454052093687,92454052094143,0
0,74,75776,1024,92454052438933,92454052439315,0
0,75,76800,1024,92454052784178,92454052784627,0
0,76,77824,1024,92454053129424,92454053129958,0
0,77,78848,1024,92454053474670,92454053475160,0
0,78,79872,1024,92454053819916,92454053820602,0
0,79,80896,1024,92454054165161,92454054165554,0
0,80,81920,1024,92454054510407,92454054510955,0
0,81,82944,1024,92454054855653,92454054856147,0
0,82,83968,1024,92454055200899,92454055201428,0
0,83,84992,1024,92454055546144,92454055546540,0
0,84,86016,1024,92454055891390,92454055891962,0
0,85,87040,1024,92454056236636,92454056237194,0
0,86,88064,1024,92454056581882,92454056582355,0
0,87,89088,1024,92454056927128,92454056927617,0
0,88,90112,1024,92454057272373,92454057272888,0
0,89,91136,1024,92454057617619,92454057618010,0
0,90,92160,1024,92454057962865,92454057963331,0
0,91,93184,1024,92454058308111,92454058308584,0
0,92,94208,1024,92454058653356,92454058653805,0
0,93,95232,1024,92454058998602,92454058999087,0
0,94,96256,1024,92454059343848,92454059344248,0
0,95,97280,1024,92454059689094,92454059689670,0
0,96,98304,1024,92454060034340,92454060034891,0
0,97,99328,1024,92454060379585,92454060380124,0
0,98,100352,1024,92454060724831,92454060725335,0
