chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,0,300,91585195701005,91585196423480,91585196737811,1036.806,314.331,1,1
0,1,300,91585196554554,91585197086202,91585197645201,1090.647,558.999,1,1
0,2,300,91585197215587,91585197894449,91585198559342,1343.755,664.893,1,1
0,3,300,91585198023974,91585198635265,91585199421921,1397.947,786.656,1,1
0,4,300,91585198763739,91585199425661,91585200301851,1538.112,876.190,1,1
0,5,300,91585199425661,91585199983901,91585201202931,1777.270,1219.030,1,1
0,6,300,91585200122305,91585200737856,91585202076762,1954.457,1338.906,1,1
0,7,300,91585200858450,91585201520732,91585202930241,2071.791,1409.509,1,1
0,8,300,91585201635797,91585202166914,91585203787970,2152.173,1621.056,1,1
0,9,300,91585202294829,91585202934761,91585204657039,2362.210,1722.278,1,1
0,10,300,91585203017564,91585203610583,91585205606541,2588.977,1995.958,1,1
0,11,300,91585203792250,91585204244955,91585206528093,2735.843,2283.138,1,1
0,12,300,91585204362169,91585204973200,91585207408592,3046.423,2435.392,1,1
0,13,300,91585205100184,91585205806498,91585208300472,3200.288,2493.974,1,1
0,14,300,91585205950103,91585206532353,91585209176083,3225.980,2643.730,1,1
0,15,300,91585206595705,91585207234226,91585210024111,3428.406,2789.885,1,1
0,16,300,91585207412563,91585207975362,91585210858649,3446.086,2883.287,1,1
0,17,300,91585208099696,91585208739987,91585211706059,3606.363,2966.072,1,1
0,18,300,91585208739987,91585209380690,91585212552167,3812.180,3171.477,1,1
0,19,300,91585209494693,91585210127175,91585213399126,3904.433,3271.951,1,1
0,20,300,91585210242059,91585210862210,91585214242794,4000.735,3380.584,1,1
0,21,300,91585210939312,91585211408408,91585215062962,4123.650,3654.554,1,1
0,22,300,91585211524812,91585212132152,91585215885730,4360.918,3753.578,1,1
0,23,300,91585212254516,91585212839107,91585216711309,4456.793,3872.202,1,1
0,24,300,91585212946080,91585213475378,91585217547707,4601.627,4072.329,1,1
0,25,300,91585213589772,91585214247014,91585218397275,4807.503,4150.261,1,1
0,26,300,91585214318547,91585214875386,91585219233644,4915.097,4358.258,1,1
0,27,300,91585215067042,91585215465406,91585220051041,4983.999,4585.635,1,1
0,28,300,91585215580360,91585216196761,91585220893180,5312.820,4696.419,1,1
0,29,300,91585216295024,91585216911585,91585221731039,5436.015,4819.454,1,1
0,30,300,91585217016278,91585217639779,91585222535895,5519.617,4896.116,1,1
0,31,300,91585217639779,91585218215059,91585223349393,5709.614,5134.334,1,1
0,32,300,91585218400976,91585218906413,91585224176031,5775.055,5269.618,1,1
0,33,300,91585219038907,91585219616637,91585224965008,5926.101,5348.371,1,1
0,34,300,91585219736311,91585220260609,91585225786676,6050.365,5526.067,1,1
0,35,300,91585220348642,91585220968572,91585226606414,6257.772,5637.842,1,1
0,36,300,91585221104237,91585221734469,91585227411071,6306.834,5676.602,1,1
0,37,300,91585221803981,91585222242445,91585228224079,6420.098,5981.634,1,1
0,38,300,91585222359240,91585222922559,91585229036947,6677.707,6114.388,1,1
0,39,300,91585223047003,91585223638414,91585229833404,6786.401,6194.990,1,1
0,40,300,91585223735626,91585224253394,91585230645321,6909.695,6391.927,1,1
0,41,300,91585224365768,91585224968298,91585231475939,7110.171,6507.641,1,1
0,42,300,91585225051901,91585225790466,91585232277646,7225.745,6487.180,1,1
0,43,300,91585225866959,91585226610454,91585233085753,7218.794,6475.299,1,1
0,44,300,91585226679706,91585227415321,91585233879900,7200.194,6464.579,1,1
0,45,300,91585227484734,91585228229249,91585234696698,7211.964,6467.449,1,1
0,46,300,91585228304152,91585229041116,91585235495605,7191.453,6454.489,1,1
0,47,300,91585229120139,91585229837603,91585236299733,7179.594,6462.130,1,1
0,48,300,91585229907096,91585230649871,91585237099210,7192.114,6449.339,1,1
0,49,300,91585230737734,91585231479779,91585237893457,7155.723,6413.678,1,1
0,50,300,91585231551242,91585232281877,91585238715714,7164.472,6433.837,1,1
0,51,300,91585232352068,91585233093174,91585239511861,7159.793,6418.687,1,1
0,52,300,91585233179027,91585233883541,91585240339710,7160.683,6456.169,1,1
0,53,300,91585233953243,91585234700368,91585241135177,7181.934,6434.809,1,1
0,54,300,91585234772361,91585235499486,91585241929504,7157.143,6430.018,1,1
0,55,300,91585235573328,91585236314833,91585242725781,7152.453,6410.948,1,1
0,56,300,91585236386486,91585237103670,91585243533988,7147.502,6430.318,1,1
0,57,300,91585237186122,91585237897256,91585244362836,7176.714,6465.580,1,1
0,58,300,91585237968539,91585238719645,91585245155764,7187.225,6436.119,1,1
0,59,300,91585238788797,91585239515642,91585245955090,7166.293,6439.448,1,1
0,60,300,91585239588645,91585240343370,91585246772598,7183.953,6429.228,1,1
0,61,300,91585240415282,91585241139906,91585247607636,7192.354,6467.730,1,1
0,62,300,91585241210609,91585241933434,91585248422894,7212.285,6489.460,1,1
0,63,300,91585242016227,91585242729711,91585249222851,7206.624,6493.140,1,1
0,64,300,91585242800183,91585243537688,91585250026548,7226.365,6488.860,1,1
0,65,300,91585243627392,91585244367106,91585250816445,7189.053,6449.339,1,1
