chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,0,300,91908369510292,91908371551162,91908371736078,2225.786,184.916,1,1
0,1,300,91908371966906,91908373597061,91908374188071,2221.165,591.010,1,1
0,2,300,91908374013665,91908376055395,91908376247032,2233.367,191.637,1,1
0,3,300,91908376472349,91908378513458,91908378686124,2213.775,172.666,1,1
0,4,300,91908378932272,91908380970252,91908381160068,2227.796,189.816,1,1
0,5,300,91908380970252,91908383023301,91908383571430,2601.178,548.129,1,1
0,6,300,91908383428064,91908385477875,91908385663511,2235.447,185.636,1,1
0,7,300,91908385886238,91908387934978,91908388109314,2223.076,174.336,1,1
0,8,300,91908388343362,91908389981847,91908390550016,2206.654,568.169,1,1
0,9,300,91908390408962,91908392438621,91908392615347,2206.385,176.726,1,1
0,10,300,91908392849474,91908394897734,91908395075940,2226.466,178.206,1,1
0,11,300,91908395321778,91908396950283,91908397514202,2192.424,563.919,1,1
0,12,300,91908397355617,91908399401406,91908399580023,2224.406,178.617,1,1
0,13,300,91908399811951,91908401860280,91908402039376,2227.425,179.096,1,1
0,14,300,91908402269814,91908403907720,91908404485169,2215.355,577.449,1,1
0,15,300,91908404318953,91908406366283,91908406547629,2228.676,181.346,1,1
0,16,300,91908406784118,91908408832887,91908409012793,2228.675,179.906,1,1
0,17,300,91908409231851,91908411280630,91908411434635,2202.784,154.005,1,1
0,18,300,91908411280630,91908413330219,91908413872978,2592.348,542.759,1,1
0,19,300,91908413738653,91908415787313,91908415963329,2224.676,176.016,1,1
0,20,300,91908416214657,91908418243496,91908418399932,2185.275,156.436,1,1
0,21,300,91908418660610,91908420295606,91908420833664,2173.054,538.058,1,1
0,22,300,91908420700620,91908422759099,91908422925175,2224.555,166.076,1,1
0,23,300,91908423176224,91908425224583,91908425390149,2213.925,165.566,1,1
0,24,300,91908425623927,91908427254462,91908427804790,2180.863,550.328,1,1
0,25,300,91908427665106,91908429713435,91908429882121,2217.015,168.686,1,1
0,26,300,91908430122889,91908432177438,91908432349244,2226.355,171.806,1,1
0,27,300,91908432580872,91908434217508,91908434783727,2202.855,566.219,1,1
0,28,300,91908434628042,91908436676302,91908436867968,2239.926,191.666,1,1
0,29,300,91908437095746,91908439132925,91908439306921,2211.175,173.996,1,1
0,30,300,91908439543249,91908441591008,91908441743633,2200.384,152.625,1,1
0,31,300,91908441591008,91908443655948,91908444192796,2601.788,536.848,1,1
0,32,300,91908444050951,91908446101191,91908446276817,2225.866,175.626,1,1
0,33,300,91908446507015,91908448554634,91908448720490,2213.475,165.856,1,1
0,34,300,91908448972789,91908450602714,91908451159903,2187.114,557.189,1,1
0,35,300,91908451011628,91908453075438,91908453255804,2244.176,180.366,1,1
0,36,300,91908453486251,91908455534072,91908455692087,2205.836,158.015,1,1
0,37,300,91908455926125,91908457565661,91908458158400,2232.275,592.739,1,1
0,38,300,91908457975614,91908460023613,91908460213130,2237.516,189.517,1,1
0,39,300,91908460433958,91908462479797,91908462649043,2215.085,169.246,1,1
0,40,300,91908462891361,91908464529117,91908465115556,2224.195,586.439,1,1
0,41,300,91908464939920,91908466985710,91908467194767,2254.847,209.057,1,1
0,42,300,91908467405564,91908469447783,91908469619559,2213.995,171.776,1,1
0,43,300,91908469860997,91908471902237,91908472085153,2224.156,182.916,1,1
0,44,300,91908471902237,91908473950026,91908474508995,2606.758,558.969,1,1
0,45,300,91908474373641,91908476408099,91908476583205,2209.564,175.106,1,1
0,46,300,91908476817214,91908478865163,91908479039469,2222.255,174.306,1,1
0,47,300,91908479279677,91908480914122,91908481463391,2183.714,549.269,1,1
0,48,300,91908481321397,91908483379256,91908483556242,2234.845,176.986,1,1
0,49,300,91908483779869,91908485828879,91908486015345,2235.476,186.466,1,1
0,50,300,91908486238233,91908487885779,91908488433038,2194.805,547.259,1,1
0,51,300,91908488291513,91908490333412,91908490502888,2211.375,169.476,1,1
0,52,300,91908490742556,91908492809546,91908492990962,2248.406,181.416,1,1
0,53,300,91908493201289,91908494851595,91908495403064,2201.775,551.469,1,1
0,54,300,91908495255689,91908497296159,91908497478685,2222.996,182.526,1,1
0,55,300,91908497707162,91908499755282,91908499917097,2209.935,161.815,1,1
0,56,300,91908500164665,91908502215086,91908502368970,2204.305,153.884,1,1
0,57,300,91908502215086,91908504264395,91908504807483,2592.397,543.088,1,1
0,58,300,91908504671468,91908506717347,91908506881464,2209.996,164.117,1,1
0,59,300,91908507128102,91908509174681,91908509342097,2213.995,167.416,1,1
0,60,300,91908509585665,91908511222261,91908511783749,2198.084,561.488,1,1
0,61,300,91908511650226,91908513691184,91908513857460,2207.234,166.276,1,1
0,62,300,91908514103119,91908516137447,91908516316774,2213.655,179.327,1,1
0,63,300,91908516549042,91908518205218,91908518741556,2192.514,536.338,1,1
0,64,300,91908518596781,91908520644260,91908520816616,2219.835,172.356,1,1
0,65,300,91908521053435,91908523114184,91908523283910,2230.475,169.726,1,1
0,66,300,91908523518048,91908525150864,91908525713433,2195.385,562.569,1,1
0,67,300,91908525558677,91908527607936,91908527788063,2229.386,180.127,1,1
0,68,300,91908528018121,91908530064650,91908530250836,2232.715,186.186,1,1
0,69,300,91908530475034,91908532529933,91908532694879,2219.845,164.946,1,1
0,70,300,91908532529933,91908534570683,91908535125712,2595.779,555.029,1,1
0,71,300,91908534980577,91908537027306,91908537211743,2231.166,184.437,1,1
0,72,300,91908537438240,91908539485430,91908539649615,2211.375,164.185,1,1
0,73,300,91908539895553,91908541532889,91908542093698,2198.145,560.809,1,1
0,74,300,91908541942513,91908543990863,91908544197910,2255.397,207.047,1,1
0,75,300,91908544410857,91908546464107,91908546641152,2230.295,177.045,1,1
0,76,300,91908546859200,91908548498605,91908549064174,2204.974,565.569,1,1
0,77,300,91908548905789,91908550955179,91908551156915,2251.126,201.736,1,1
0,78,300,91908551363282,91908553427343,91908553606158,2242.876,178.815,1,1
0,79,300,91908553821346,91908555460812,91908556043812,2222.466,583.000,1,1
0,80,300,91908555868745,91908557918425,91908558110611,2241.866,192.186,1,1
0,81,300,91908558342559,91908560374528,91908560546664,2204.105,172.136,1,1
0,82,300,91908560791422,91908562832522,91908562995008,2203.586,162.486,1,1
0,83,300,91908562832522,91908564898672,91908565434910,2602.388,536.238,1,1
0,84,300,91908565291235,91908567337654,91908567512051,2220.816,174.397,1,1
0,85,300,91908567757019,91908569796498,91908569967494,2210.475,170.996,1,1
0,86,300,91908570213852,91908571843447,91908572419218,2205.366,575.771,1,1
0,87,300,91908572269412,91908574302371,91908574479427,2210.015,177.056,1,1
0,88,300,91908574719085,91908576770615,91908576927860,2208.775,157.245,1,1
0,89,300,91908577180709,91908578824035,91908579377513,2196.804,553.478,1,1
0,90,300,91908579227958,91908581265407,91908581444623,2216.665,179.216,1,1
0,91,300,91908581674151,91908583734181,91908583902787,2228.636,168.606,1,1
0,92,300,91908584158896,91908585771340,91908586327809,2168.913,556.469,1,1
0,93,300,91908586180134,91908588228243,91908588400059,2219.925,171.816,1,1
0,94,300,91908588637928,91908590684947,91908590846762,2208.834,161.815,1,1
0,95,300,91908591095920,91908593169521,91908593323716,2227.796,154.195,1,1
0,96,300,91908593169521,91908595190730,91908595741578,2572.057,550.848,1,1
0,97,300,91908595608694,91908597648343,91908597812258,2203.564,163.915,1,1
0,98,300,91908598058327,91908600113966,91908600287002,2228.675,173.036,1,1
0,99,300,91908600517160,91908602153406,91908602705705,2188.545,552.299,1,1
0,100,300,91908602564229,91908604614799,91908604789135,2224.906,174.336,1,1
0,101,300,91908605031374,91908607085373,91908607260429,2229.055,175.056,1,1
0,102,300,91908607491707,91908609116752,91908609675641,2183.934,558.889,1,1
0,103,300,91908609526746,91908611575416,91908611765102,2238.356,189.686,1,1
0,104,300,91908611986019,91908614034049,91908614210545,2224.526,176.496,1,1
0,105,300,91908614443043,91908616093019,91908616645138,2202.095,552.119,1,1
0,106,300,91908616489852,91908618538312,91908618718838,2228.986,180.526,1,1
0,107,300,91908618948316,91908621000316,91908621189122,2240.806,188.806,1,1
0,108,300,91908621406249,91908623466999,91908623636565,2230.316,169.566,1,1
0,109,300,91908623466999,91908625502829,91908626075347,2608.348,572.518,1,1
0,110,300,91908625917192,91908627961201,91908628183569,2266.377,222.368,1,1
0,111,300,91908628378916,91908630424915,91908630714785,2335.869,289.870,1,1
0,112,300,91908630829499,91908632467165,91908633055475,2225.976,588.310,1,1
0,113,300,91908632888909,91908634928698,91908635130675,2241.766,201.977,1,1
0,114,300,91908635332962,91908637379831,91908637551957,2218.995,172.126,1,1
0,115,300,91908637792895,91908639429230,91908639989609,2196.714,560.379,1,1
0,116,300,91908639837885,91908641886434,91908642080341,2242.456,193.907,1,1
0,117,300,91908642312318,91908644345467,91908644526894,2214.576,181.427,1,1
0,118,300,91908644754051,91908646394647,91908646957687,2203.636,563.040,1,1
0,119,300,91908646801831,91908648854701,91908649061237,2259.406,206.536,1,1
0,120,300,91908649266344,91908651307814,91908651480619,2214.275,172.805,1,1
0,121,300,91908651716557,91908653767927,91908653930442,2213.885,162.515,1,1
0,122,300,91908653767927,91908655811707,91908656358925,2590.998,547.218,1,1
0,123,300,91908656222871,91908658270350,91908658445286,2222.415,174.936,1,1
0,124,300,91908658678314,91908660728194,91908660903319,2225.005,175.125,1,1
0,125,300,91908661137457,91908662774093,91908663328691,2191.234,554.598,1,1
0,126,300,91908663185836,91908665233396,91908665411472,2225.636,178.076,1,1
0,127,300,91908665641780,91908667691400,91908667863126,2221.346,171.726,1,1
0,128,300,91908668108574,91908669754819,91908670296638,2188.064,541.819,1,1
0,129,300,91908670147643,91908672196713,91908672376518,2228.875,179.805,1,1
0,130,300,91908672616177,91908674658906,91908674828152,2211.975,169.246,1,1
0,131,300,91908675064020,91908676718916,91908677283975,2219.955,565.059,1,1
0,132,300,91908677110399,91908679171700,91908679358736,2248.337,187.036,1,1
0,133,300,91908679569773,91908681616182,91908681796008,2226.235,179.826,1,1
0,134,300,91908682031936,91908684092117,91908684262321,2230.385,170.204,1,1
0,135,300,91908684092117,91908686122045,91908686666764,2574.647,544.719,1,1
0,136,300,91908686531899,91908688581158,91908688754574,2222.675,173.416,1,1
0,137,300,91908688990203,91908691038362,91908691211057,2220.854,172.695,1,1
0,138,300,91908691455876,91908693092282,91908693651741,2195.865,559.459,1,1
0,139,300,91908693509956,91908695555215,91908695731240,2221.284,176.025,1,1
0,140,300,91908695952599,91908698028149,91908698215345,2262.746,187.196,1,1
0,141,300,91908698410181,91908700055078,91908700608346,2198.165,553.268,1,1
0,142,300,91908700459722,91908702507641,91908702686497,2226.775,178.856,1,1
0,143,300,91908702915394,91908704964764,91908705150610,2235.216,185.846,1,1
0,144,300,91908705373448,91908707018514,91908707588963,2215.515,570.449,1,1
0,145,300,91908707422298,91908709469347,91908709650453,2228.155,181.106,1,1
0,146,300,91908709879691,91908711929411,91908712128187,2248.496,198.776,1,1
0,147,300,91908712336094,91908714398665,91908714562070,2225.976,163.405,1,1
0,148,300,91908714398665,91908716433173,91908716986852,2588.187,553.679,1,1
0,149,300,91908716842897,91908718889887,91908719077943,2235.046,188.056,1,1
0,150,300,91908719300290,91908721364811,91908721529806,2229.516,164.995,1,1
0,151,300,91908721775284,91908723396790,91908723952528,2177.244,555.738,1,1
0,152,300,91908723804893,91908725854623,91908726041609,2236.716,186.986,1,1
0,153,300,91908726262467,91908728323646,91908728491742,2229.275,168.096,1,1
0,154,300,91908728721510,91908730360526,91908730918644,2197.134,558.118,1,1
0,155,300,91908730770100,91908732818080,91908733017646,2247.546,199.566,1,1
0,156,300,91908733227203,91908735275942,91908735446088,2218.885,170.146,1,1
0,157,300,91908735685367,91908737323472,91908737897332,2211.965,573.860,1,1
0,158,300,91908737731836,91908739799446,91908739979903,2248.067,180.457,1,1
0,159,300,91908740192339,91908742242089,91908742414465,2222.126,172.376,1,1
0,160,300,91908742659024,91908744695852,91908744857847,2198.823,161.995,1,1
0,161,300,91908744695852,91908746743121,91908747282210,2586.358,539.089,1,1
0,162,300,91908747153626,91908749205805,91908749370951,2217.325,165.146,1,1
0,163,300,91908749611179,91908751672289,91908751836814,2225.635,164.525,1,1
0,164,300,91908752067172,91908753706138,91908754257626,2190.454,551.488,1,1
0,165,300,91908754116142,91908756170892,91908756342658,2226.516,171.766,1,1
0,166,300,91908756573925,91908758622275,91908758788510,2214.585,166.235,1,1
0,167,300,91908759032618,91908760670554,91908761241824,2209.206,571.270,1,1
0,168,300,91908761079049,91908763127478,91908763320984,2241.935,193.506,1,1
0,169,300,91908763545672,91908765584591,91908765753456,2207.784,168.865,1,1
0,170,300,91908765993705,91908767634240,91908768220480,2226.775,586.240,1,1
0,171,300,91908768042865,91908770090784,91908770279470,2236.605,188.686,1,1
0,172,300,91908770501087,91908772551247,91908772722523,2221.436,171.276,1,1
0,173,300,91908772967122,91908775013511,91908775197557,2230.435,184.046,1,1
0,174,300,91908775013511,91908777053870,91908777599398,2585.887,545.528,1,1
0,175,300,91908777464244,91908779526304,91908779700050,2235.806,173.746,1,1
0,176,300,91908779920987,91908781969347,91908782151543,2230.556,182.196,1,1
0,177,300,91908782379611,91908784017927,91908784570075,2190.464,552.148,1,1
0,178,300,91908784427780,91908786474589,91908786661956,2234.176,187.367,1,1
0,179,300,91908786883564,91908788932693,91908789122130,2238.566,189.437,1,1
0,180,300,91908789356078,91908790979423,91908791539271,2183.193,559.848,1,1
0,181,300,91908791389716,91908793438896,91908793628253,2238.537,189.357,1,1
0,182,300,91908793848720,91908795911299,91908796091556,2242.836,180.257,1,1
0,183,300,91908796304294,91908797944619,91908798517358,2213.064,572.739,1,1
0,184,300,91908798361603,91908800401212,91908800582038,2220.435,180.826,1,1
0,185,300,91908800809846,91908802858436,91908803040252,2230.406,181.816,1,1
0,186,300,91908803269090,91908805331369,91908805494615,2225.525,163.246,1,1
0,187,300,91908805331369,91908807363198,91908807909147,2577.778,545.949,1,1
0,188,300,91908807774663,91908809827582,91908810023608,2248.945,196.026,1,1
0,189,300,91908810230615,91908812295996,91908812468551,2237.936,172.555,1,1
0,190,300,91908812688199,91908814338285,91908814880213,2192.014,541.928,1,1
0,191,300,91908814737249,91908816786258,91908816973504,2236.255,187.246,1,1
0,192,300,91908817194742,91908819241792,91908819409947,2215.205,168.155,1,1
0,193,300,91908819651925,91908821290311,91908821848260,2196.335,557.949,1,1
0,194,300,91908821699914,91908823762205,91908823940270,2240.356,178.065,1,1
0,195,300,91908824158908,91908826217639,91908826399654,2240.746,182.015,1,1
0,196,300,91908826615272,91908828271517,91908828832637,2217.365,561.120,1,1
0,197,300,91908828677322,91908830710671,91908830891056,2213.734,180.385,1,1
0,198,300,91908831121284,91908833170294,91908833343240,2221.956,172.946,1,1
0,199,300,91908833581808,91908835640987,91908835803304,2221.496,162.317,1,1
0,200,300,91908835640987,91908837674217,91908838226026,2585.039,551.809,1,1
0,201,300,91908838083201,91908840132580,91908840314796,2231.595,182.216,1,1
0,202,300,91908840550725,91908842600674,91908842776290,2225.565,175.616,1,1
0,203,300,91908842999348,91908844643063,91908845224353,2225.005,581.290,1,1
0,204,300,91908845065417,91908847105897,91908847291113,2225.696,185.216,1,1
0,205,300,91908847504411,91908849558271,91908849725006,2220.595,166.735,1,1
0,206,300,91908849970024,91908851601420,91908852171509,2201.485,570.089,1,1
0,207,300,91908852014213,91908854059322,91908854245810,2231.597,186.488,1,1
0,208,300,91908854468347,91908856516026,91908856685342,2216.995,169.316,1,1
0,209,300,91908856925220,91908858564595,91908859165627,2240.407,601.032,1,1
0,210,300,91908858991940,91908861043010,91908861235107,2243.167,192.097,1,1
0,211,300,91908861430893,91908863480152,91908863642398,2211.505,162.246,1,1
0,212,300,91908863888766,91908865947257,91908866127802,2239.036,180.545,1,1
0,213,300,91908865947257,91908867985975,91908868523443,2576.186,537.468,1,1
0,214,300,91908868395260,91908870442239,91908870617574,2222.314,175.335,1,1
0,215,300,91908870851842,91908872910372,91908873087418,2235.576,177.046,1,1
0,216,300,91908873312796,91908874960112,91908875511211,2198.415,551.099,1,1
0,217,300,91908875368165,91908877422245,91908877589331,2221.166,167.086,1,1
0,218,300,91908877822899,91908879863649,91908880042604,2219.705,178.955,1,1
0,219,300,91908880279153,91908881912298,91908882473177,2194.024,560.879,1,1
0,220,300,91908882322892,91908884370261,91908884548777,2225.885,178.516,1,1
0,221,300,91908884786426,91908886839835,91908887011921,2225.495,172.086,1,1
0,222,300,91908887236878,91908888874474,91908889442653,2205.775,568.179,1,1
0,223,300,91908889284048,91908891341077,91908891526354,2242.306,185.277,1,1
0,224,300,91908891740841,91908893801061,91908893973737,2232.896,172.676,1,1
0,225,300,91908894199195,91908896246804,91908896403790,2204.595,156.986,1,1
0,226,300,91908896246804,91908898307154,91908898833942,2587.138,526.788,1,1
0,227,300,91908898705928,91908900757078,91908900922223,2216.295,165.145,1,1
0,228,300,91908901177331,91908903210470,91908903367476,2190.145,157.006,1,1
0,229,300,91908903622945,91908905259650,91908905801869,2178.924,542.219,1,1
0,230,300,91908905667714,91908907733324,91908907899299,2231.585,165.975,1,1
0,231,300,91908908125698,91908910175517,91908910334572,2208.874,159.055,1,1
0,232,300,91908910583261,91908912221116,91908912788866,2205.605,567.750,1,1
0,233,300,91908912648230,91908914689640,91908914858256,2210.026,168.616,1,1
0,234,300,91908915105974,91908917136203,91908917305719,2199.745,169.516,1,1
0,235,300,91908917547567,91908919204433,91908919760362,2212.795,555.929,1,1
0,236,300,91908919594487,91908921642536,91908921813112,2218.625,170.576,1,1
0,237,300,91908922052040,91908924099669,91908924271495,2219.455,171.826,1,1
0,238,300,91908924509723,91908926557773,91908926720308,2210.585,162.535,1,1
0,239,300,91908926557773,91908928604962,91908929169451,2611.678,564.489,1,1
0,240,300,91908929016105,91908931064086,91908931249752,2233.647,185.666,1,1
0,241,300,91908931473009,91908933521879,91908933699075,2226.066,177.196,1,1
0,242,300,91908933945753,91908935574018,91908936136627,2190.874,562.609,1,1
0,243,300,91908935983793,91908938025802,91908938212478,2228.685,186.676,1,1
0,244,300,91908938442206,91908940485116,91908940652301,2210.095,167.185,1,1
0,245,300,91908940893319,91908942532585,91908943119205,2225.886,586.620,1,1
0,246,300,91908942959649,91908944990688,91908945192145,2232.496,201.457,1,1
0,247,300,91908945399152,91908947446421,91908947606996,2207.844,160.575,1,1
0,248,300,91908947856355,91908949494541,91908950087361,2231.006,592.820,1,1
0,249,300,91908949920525,91908951962754,91908952186893,2266.368,224.139,1,1
0,250,300,91908952373889,91908954426509,91908954593524,2219.635,167.015,1,1
0,251,300,91908954823942,91908956885101,91908957056577,2232.635,171.476,1,1
0,252,300,91908956885101,91908958929140,91908959464549,2579.448,535.409,1,1
0,253,300,91908959335615,91908961373844,91908961539010,2203.395,165.166,1,1
0,254,300,91908961783228,91908963838168,91908964015013,2231.785,176.845,1,1
0,255,300,91908964258222,91908965879156,91908966435006,2176.784,555.850,1,1
0,256,300,91908966290971,91908968336090,91908968507586,2216.615,171.496,1,1
0,257,300,91908968746674,91908970796953,91908970954569,2207.895,157.616,1,1
0,258,300,91908971209378,91908972842043,91908973403782,2194.404,561.739,1,1
0,259,300,91908973252747,91908975299826,91908975469752,2217.005,169.926,1,1
0,260,300,91908975709321,91908977756680,91908977916435,2207.114,159.755,1,1
0,261,300,91908978166953,91908979808259,91908980363348,2196.395,555.089,1,1
0,262,300,91908980214704,91908982281303,91908982453530,2238.826,172.227,1,1
0,263,300,91908982686057,91908984737916,91908984900062,2214.005,162.146,1,1
0,264,300,91908985156590,91908987179420,91908987334384,2177.794,154.964,1,1
0,265,300,91908987179420,91908989225749,91908989770607,2591.187,544.858,1,1
0,266,300,91908989636052,91908991683513,91908991847768,2211.716,164.255,1,1
0,267,300,91908992092906,91908994147656,91908994313542,2220.636,165.886,1,1
0,268,300,91908994552310,91908996190175,91908996741204,2188.894,551.029,1,1
0,269,300,91908996599499,91908998648019,91908998823844,2224.345,175.825,1,1
0,270,300,91908999058302,91909001106421,91909001285088,2226.786,178.667,1,1
0,271,300,91909001531576,91909003152342,91909003711590,2180.014,559.248,1,1
0,272,300,91909003562805,91909005610965,91909005789101,2226.296,178.136,1,1
0,273,300,91909006033849,91909008068038,91909008251594,2217.745,183.556,1,1
0,274,300,91909008477072,91909010115628,91909010692297,2215.225,576.669,1,1
0,275,300,91909010525651,91909012589182,91909012781448,2255.797,192.266,1,1
0,276,300,91909012986755,91909015030874,91909015361665,2374.910,330.791,1,1
0,277,300,91909015441359,91909017495398,91909017658364,2217.005,162.966,1,1
0,278,300,91909017495398,91909019537547,91909020092716,2597.318,555.169,1,1
0,279,300,91909019945751,91909022030302,91909022213058,2267.307,182.756,1,1
0,280,300,91909022403345,91909024451614,91909024616519,2213.174,164.905,1,1
0,281,300,91909024861308,91909026504154,91909027070763,2209.455,566.609,1,1
0,282,300,91909026909378,91909028957227,91909029162414,2253.036,205.187,1,1
0,283,300,91909029381292,91909031416280,91909031595467,2214.175,179.187,1,1
0,284,300,91909031825584,91909033463810,91909034032329,2206.745,568.519,1,1
0,285,300,91909033873814,91909035923123,91909036111650,2237.836,188.527,1,1
0,286,300,91909036330307,91909038379627,91909038549563,2219.256,169.936,1,1
0,287,300,91909038788290,91909040426726,91909040993075,2204.785,566.349,1,1
0,288,300,91909040836520,91909042883420,91909043074525,2238.005,191.105,1,1
0,289,300,91909043302194,91909045341603,91909045513869,2211.675,172.266,1,1
0,290,300,91909045751867,91909047799876,91909047962162,2210.295,162.286,1,1
0,291,300,91909047799876,91909049848476,91909050387164,2587.288,538.688,1,1
0,292,300,91909050258099,91909052321440,91909052497745,2239.646,176.305,1,1
0,293,300,91909052730533,91909054763312,91909054929498,2198.965,166.186,1,1
0,294,300,91909055173056,91909056813612,91909057369421,2196.365,555.809,1,1
0,295,300,91909057225546,91909059269056,91909059447391,2221.845,178.335,1,1
0,296,300,91909059678609,91909061725388,91909061882724,2204.115,157.336,1,1
0,297,300,91909062135683,91909063773699,91909064324437,2188.754,550.738,1,1
0,298,300,91909064182342,91909066232351,91909066412268,2229.926,179.917,1,1
0,299,300,91909066641636,91909068689665,91909068858591,2216.955,168.926,1,1
0,300,300,91909069108450,91909070749365,91909071313274,2204.824,563.909,1,1
0,301,300,91909071155459,91909073193638,91909073378934,2223.475,185.296,1,1
0,302,300,91909073620812,91909075652401,91909075829118,2208.306,176.717,1,1
0,303,300,91909076082116,91909078109615,91909078273020,2190.904,163.405,1,1
0,304,300,91909078109615,91909080158724,91909080703553,2593.938,544.829,1,1
0,305,300,91909080568218,91909082614717,91909082778983,2210.765,164.266,1,1
0,306,300,91909083025232,91909085088801,91909085257797,2232.565,168.996,1,1
0,307,300,91909085487755,91909087137250,91909087664879,2177.124,527.629,1,1
0,308,300,91909087530555,91909089577774,91909089744210,2213.655,166.436,1,1
0,309,300,91909090014539,91909092054697,91909092227603,2213.064,172.906,1,1
0,310,300,91909092460351,91909094084457,91909094646366,2186.015,561.909,1,1
0,311,300,91909094505190,91909096540740,91909096709076,2203.886,168.336,1,1
0,312,300,91909096964984,91909099015024,91909099196270,2231.286,181.246,1,1
0,313,300,91909099409677,91909101047553,91909101636233,2226.556,588.680,1,1
0,314,300,91909101469117,91909103505526,91909103686743,2217.626,181.217,1,1
0,315,300,91909103930631,91909105963330,91909106155916,2225.285,192.586,1,1
0,316,300,91909106373013,91909108420233,91909108583389,2210.376,163.156,1,1
0,317,300,91909108420233,91909110468803,91909111033482,2613.249,564.679,1,1
0,318,300,91909110887807,91909112924805,91909113109992,2222.185,185.187,1,1
0,319,300,91909113336050,91909115382899,91909115542184,2206.134,159.285,1,1
0,320,300,91909115794633,91909117432249,91909117975017,2180.384,542.768,1,1
0,321,300,91909117840993,91909119888552,91909120065128,2224.135,176.576,1,1
0,322,300,91909120299366,91909122347095,91909122506661,2207.295,159.566,1,1
0,323,300,91909122769680,91909124395545,91909124958505,2188.825,562.960,1,1
0,324,300,91909124803239,91909126852328,91909127047655,2244.416,195.327,1,1
0,325,300,91909127260773,91909129308762,91909129491008,2230.235,182.246,1,1
0,326,300,91909129731227,91909131358642,91909131923041,2191.814,564.399,1,1
0,327,300,91909131767035,91909133814484,91909133995781,2228.746,181.297,1,1
0,328,300,91909134224559,91909136273718,91909136448634,2224.075,174.916,1,1
0,329,300,91909136687022,91909138739472,91909138903357,2216.335,163.885,1,1
0,330,300,91909138739472,91909140778701,91909141332329,2592.857,553.628,1,1
0,331,300,91909141187284,91909143247075,91909143434901,2247.617,187.826,1,1
0,332,300,91909143645288,91909145694318,91909145859373,2214.085,165.055,1,1
0,333,300,91909146102841,91909147741787,91909148309266,2206.425,567.479,1,1
0,334,300,91909148165572,91909150200401,91909150378296,2212.724,177.895,1,1
0,335,300,91909150617765,91909152671825,91909152850520,2232.755,178.695,1,1
0,336,300,91909153065798,91909154704763,91909155279773,2213.975,575.010,1,1
0,337,300,91909155118928,91909157163437,91909157353903,2234.975,190.466,1,1
0,338,300,91909157581351,91909159632151,91909159811936,2230.585,179.785,1,1
0,339,300,91909160029714,91909161669020,91909162244989,2215.275,575.969,1,1
