chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,0,300,91868921245007,91868923268437,91868923467813,2222.806,199.376,1,1
0,1,300,91868923689220,91868925310035,91868925898376,2209.156,588.341,1,1
0,2,300,91868925720329,91868927768799,91868927958246,2237.917,189.447,1,1
0,3,300,91868928196813,91868930227392,91868930399868,2203.055,172.476,1,1
0,4,300,91868930633656,91868932695626,91868932855852,2222.196,160.226,1,1
0,5,300,91868932695626,91868934736436,91868935293384,2597.758,556.948,1,1
0,6,300,91868935149429,91868937189519,91868937374135,2224.706,184.616,1,1
0,7,300,91868937599352,91868939646782,91868939809017,2209.665,162.235,1,1
0,8,300,91868940073907,91868941693661,91868942260100,2186.193,566.439,1,1
0,9,300,91868942108556,91868944150745,91868944326311,2217.755,175.566,1,1
0,10,300,91868944560608,91868946608529,91868946772904,2212.296,164.375,1,1
0,11,300,91868947018402,91868948657878,91868949245438,2227.036,587.560,1,1
0,12,300,91868949068362,91868951114381,91868951301537,2233.175,187.156,1,1
0,13,300,91868951523295,91868953586205,91868953752550,2229.255,166.345,1,1
0,14,300,91868953981368,91868955630655,91868956202243,2220.875,571.588,1,1
0,15,300,91868956028967,91868958078768,91868958267704,2238.737,188.936,1,1
0,16,300,91868958488011,91868960535750,91868960705006,2216.995,169.256,1,1
0,17,300,91868960944395,91868962993524,91868963191020,2246.625,197.496,1,1
0,18,300,91868962993524,91868965040473,91868965593323,2599.799,552.850,1,1
0,19,300,91868965451137,91868967518718,91868967711554,2260.417,192.836,1,1
0,20,300,91868967908841,91868969963931,91868970155577,2246.736,191.646,1,1
0,21,300,91868970380765,91868972014200,91868972562399,2181.634,548.199,1,1
0,22,300,91868972413354,91868974465684,91868974639089,2225.735,173.405,1,1
0,23,300,91868974873057,91868976919166,91868977100783,2227.726,181.617,1,1
0,24,300,91868977328150,91868978968976,91868979524265,2196.115,555.289,1,1
0,25,300,91868979376430,91868981426719,91868981603186,2226.756,176.467,1,1
0,26,300,91868981843683,91868983882223,91868984068709,2225.026,186.486,1,1
0,27,300,91868984311367,91868985939683,91868986513242,2201.875,573.559,1,1
0,28,300,91868986339436,91868988389306,91868988590053,2250.617,200.747,1,1
0,29,300,91868988798190,91868990847049,91868991025786,2227.596,178.737,1,1
0,30,300,91868991272374,91868993304503,91868993474939,2202.565,170.436,1,1
0,31,300,91868993304503,91868995352152,91868995899461,2594.958,547.309,1,1
0,32,300,91868995765946,91868997808486,91868997979521,2213.575,171.035,1,1
0,33,300,91868998219169,91869000266799,91869000442625,2223.456,175.826,1,1
0,34,300,91869000692743,91869002323129,91869002866007,2173.264,542.878,1,1
0,35,300,91869002725913,91869004783322,91869004956768,2230.855,173.446,1,1
0,36,300,91869005203196,91869007230495,91869007406621,2203.425,176.126,1,1
0,37,300,91869007641349,91869009278285,91869009844963,2203.614,566.678,1,1
0,38,300,91869009689058,91869011735098,91869011920964,2231.906,185.866,1,1
0,39,300,91869012147911,91869014194552,91869014363957,2216.046,169.405,1,1
0,40,300,91869014617275,91869016244371,91869016813351,2196.076,568.980,1,1
0,41,300,91869016650064,91869018711875,91869018896671,2246.607,184.796,1,1
0,42,300,91869019116129,91869021158508,91869021329484,2213.355,170.976,1,1
0,43,300,91869021566432,91869023612991,91869023784437,2218.005,171.446,1,1
0,44,300,91869023612991,91869025660920,91869026213839,2600.848,552.919,1,1
0,45,300,91869026071234,91869028120383,91869028302290,2231.056,181.907,1,1
0,46,300,91869028529368,91869030576977,91869030738842,2209.474,161.865,1,1
0,47,300,91869030992661,91869032625096,91869033204277,2211.616,579.181,1,1
0,48,300,91869033054081,91869035083800,91869035268616,2214.535,184.816,1,1
0,49,300,91869035510154,91869037539213,91869037714499,2204.345,175.286,1,1
0,50,300,91869037949237,91869039588403,91869040170183,2220.946,581.780,1,1
0,51,300,91869039996777,91869042046336,91869042232002,2235.225,185.666,1,1
0,52,300,91869042469931,91869044505150,91869044683386,2213.455,178.236,1,1
0,53,300,91869044921714,91869046550619,91869047125358,2203.644,574.739,1,1
0,54,300,91869046961333,91869049033133,91869049241750,2280.417,208.617,1,1
0,55,300,91869049419447,91869051468636,91869051647502,2228.055,178.866,1,1
0,56,300,91869051877599,91869053925520,91869054105965,2228.366,180.445,1,1
0,57,300,91869053925520,91869055972679,91869056524747,2599.227,552.068,1,1
0,58,300,91869056382142,91869058428872,91869058610568,2228.426,181.696,1,1
0,59,300,91869058839356,91869060887546,91869061080712,2241.356,193.166,1,1
0,60,300,91869061298599,91869062937285,91869063496474,2197.875,559.189,1,1
0,61,300,91869063346848,91869065392159,91869065576335,2229.487,184.176,1,1
0,62,300,91869065803612,91869067851712,91869068046458,2242.846,194.746,1,1
0,63,300,91869068262166,91869069899511,91869070469530,2207.364,570.019,1,1
0,64,300,91869070307765,91869072356995,91869072547661,2239.896,190.666,1,1
0,65,300,91869072767758,91869074817318,91869074993734,2225.976,176.416,1,1
0,66,300,91869075236032,91869076863798,91869077435337,2199.305,571.539,1,1
0,67,300,91869077271411,91869079318990,91869079503967,2232.556,184.977,1,1
0,68,300,91869079730935,91869081779084,91869081957890,2226.955,178.806,1,1
