chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,0,300,91983136753411,91983138792801,91983139028919,2275.508,236.118,1,1
0,1,300,91983139204715,91983140841000,91983141446771,2242.056,605.771,1,1
0,2,300,91983141252264,91983143297424,91983143502451,2250.187,205.027,1,1
0,3,300,91983143707238,91983145759637,91983145950404,2243.166,190.767,1,1
0,4,300,91983146164261,91983148213761,91983148389416,2225.155,175.655,1,1
0,5,300,91983148213761,91983150259970,91983150831890,2618.129,571.920,1,1
0,6,300,91983150671134,91983152718744,91983152925311,2254.177,206.567,1,1
0,7,300,91983153128117,91983155219058,91983155497218,2369.101,278.160,1,1
0,8,300,91983155588321,91983157232417,91983157805977,2217.656,573.560,1,1
0,9,300,91983157635381,91983159684250,91983159895007,2259.626,210.757,1,1
0,10,300,91983160093963,91983162140094,91983162338510,2244.547,198.416,1,1
0,11,300,91983162555748,91983164189103,91983164772073,2216.325,582.970,1,1
0,12,300,91983164597676,91983166644266,91983166844673,2246.997,200.407,1,1
0,13,300,91983167055680,91983169102440,91983169298367,2242.687,195.927,1,1
0,14,300,91983169512543,91983171160210,91983171739969,2227.426,579.759,1,1
0,15,300,91983171560263,91983173607573,91983173810589,2250.326,203.016,1,1
0,16,300,91983174025557,91983176064765,91983176265373,2239.816,200.608,1,1
0,17,300,91983176474710,91983178525959,91983178709185,2234.475,183.226,1,1
0,18,300,91983178525959,91983180570478,91983181145928,2619.969,575.450,1,1
0,19,300,91983180981692,91983183028962,91983183239690,2257.998,210.728,1,1
0,20,300,91983183438726,91983185485205,91983185667692,2228.966,182.487,1,1
0,21,300,91983185902119,91983187537865,91983188109034,2206.915,571.169,1,1
0,22,300,91983187944159,91983189993128,91983190207316,2263.157,214.188,1,1
0,23,300,91983190402732,91983192451581,91983192647618,2244.886,196.037,1,1
0,24,300,91983192859456,91983194498211,91983195085421,2225.965,587.210,1,1
0,25,300,91983194908195,91983196958274,91983197186582,2278.387,228.308,1,1
0,26,300,91983197366929,91983199412688,91983199619295,2252.366,206.607,1,1
0,27,300,91983199824092,91983201461667,91983202067428,2243.336,605.761,1,1
0,28,300,91983201870901,91983203918181,91983204164329,2293.428,246.148,1,1
0,29,300,91983204332015,91983206380814,91983206575541,2243.526,194.727,1,1
0,30,300,91983206785558,91983208833338,91983209030014,2244.456,196.676,1,1
0,31,300,91983208833338,91983210882237,91983211446226,2612.888,563.989,1,1
0,32,300,91983211290890,91983213339301,91983213528647,2237.757,189.346,1,1
0,33,300,91983213748654,91983215802164,91983215996451,2247.797,194.287,1,1
0,34,300,91983216212828,91983217850103,91983218419243,2206.415,569.140,1,1
0,35,300,91983218255137,91983220301867,91983220496714,2241.577,194.847,1,1
0,36,300,91983220712070,91983222758510,91983222944707,2232.637,186.197,1,1
0,37,300,91983223170754,91983224806440,91983225394270,2223.516,587.830,1,1
0,38,300,91983225218103,91983227265893,91983227464560,2246.457,198.667,1,1
0,39,300,91983227678717,91983229722046,91983229910033,2231.316,187.987,1,1
0,40,300,91983230135460,91983231772256,91983232364036,2228.576,591.780,1,1
0,41,300,91983232180329,91983234227569,91983234435026,2254.697,207.457,1,1
0,42,300,91983234638933,91983236686392,91983236875749,2236.816,189.357,1,1
0,43,300,91983237095607,91983239143816,91983239345233,2249.626,201.417,1,1
0,44,300,91983239143816,91983241190855,91983241759185,2615.369,568.330,1,1
0,45,300,91983241606209,91983243648979,91983243841575,2235.366,192.596,1,1
0,46,300,91983244058943,91983246106312,91983246298929,2239.986,192.617,1,1
0,47,300,91983246518106,91983248159592,91983248722361,2204.255,562.769,1,1
0,48,300,91983248563126,91983250617105,91983250814882,2251.756,197.777,1,1
0,49,300,91983251022659,91983253070558,91983253280545,2257.886,209.987,1,1
0,50,300,91983253479672,91983255118218,91983255695968,2216.296,577.750,1,1
0,51,300,91983255528262,91983257574941,91983257767538,2239.276,192.597,1,1
0,52,300,91983257992965,91983260033285,91983260242592,2249.627,209.307,1,1
0,53,300,91983260443458,91983262082624,91983262666584,2223.126,583.960,1,1
0,54,300,91983262492428,91983264538298,91983264748895,2256.467,210.597,1,1
0,55,300,91983264947551,91983266997341,91983267212068,2264.517,214.727,1,1
0,56,300,91983267405715,91983269453915,91983269634990,2229.275,181.075,1,1
0,57,300,91983269453915,91983271501884,91983272078323,2624.408,576.439,1,1
0,58,300,91983271916028,91983273959008,91983274164644,2248.616,205.636,1,1
0,59,300,91983274370801,91983276417561,91983276611997,2241.196,194.436,1,1
0,60,300,91983276833275,91983278465470,91983279031139,2197.864,565.669,1,1
0,61,300,91983278875564,91983280922724,91983281126650,2251.086,203.926,1,1
0,62,300,91983281333907,91983283384757,91983283582564,2248.657,197.807,1,1
0,63,300,91983283791211,91983285427787,91983285999835,2208.624,572.048,1,1
0,64,300,91983285837430,91983287884709,91983288102787,2265.357,218.078,1,1
0,65,300,91983288296304,91983290345333,91983290533920,2237.616,188.587,1,1
0,66,300,91983290755217,91983292391583,91983292975042,2219.825,583.459,1,1
0,67,300,91983292801376,91983294850656,91983295060403,2259.027,209.747,1,1
0,68,300,91983295258560,91983297313650,91983297505446,2246.886,191.796,1,1
0,69,300,91983297716973,91983299765513,91983299949449,2232.476,183.936,1,1
0,70,300,91983299765513,91983301812872,91983302377722,2612.209,564.850,1,1
0,71,300,91983302222936,91983304269225,91983304463152,2240.216,193.927,1,1
0,72,300,91983304679560,91983306728859,91983306912915,2233.355,184.056,1,1
0,73,300,91983307138582,91983308775698,91983309346548,2207.966,570.850,1,1
0,74,300,91983309184423,91983311234272,91983311433038,2248.615,198.766,1,1
0,75,300,91983311643846,91983313690235,91983313886152,2242.306,195.917,1,1
0,76,300,91983314101839,91983315743915,91983316321505,2219.666,577.590,1,1
0,77,300,91983316153379,91983318196528,91983318394555,2241.176,198.027,1,1
0,78,300,91983318608392,91983320654642,91983320851358,2242.966,196.716,1,1
0,79,300,91983321064225,91983322702131,91983323308592,2244.367,606.461,1,1
0,80,300,91983323112815,91983325163354,91983325364362,2251.547,201.008,1,1
0,81,300,91983325571088,91983327617598,91983327807504,2236.416,189.906,1,1
0,82,300,91983328027811,91983330075912,91983330266297,2238.486,190.385,1,1
0,83,300,91983330075912,91983332122621,91983332693989,2618.077,571.368,1,1
0,84,300,91983332533414,91983334581064,91983334774150,2240.736,193.086,1,1
0,85,300,91983334990458,91983337039027,91983337237514,2247.056,198.487,1,1
0,86,300,91983337447181,91983339086637,91983339665736,2218.555,579.099,1,1
0,87,300,91983339497160,91983341543940,91983341739816,2242.656,195.876,1,1
0,88,300,91983341954224,91983344000003,91983344206101,2251.877,206.098,1,1
0,89,300,91983344410668,91983346048284,91983346637003,2226.335,588.719,1,1
0,90,300,91983346458307,91983348506496,91983348712963,2254.656,206.467,1,1
0,91,300,91983348916041,91983350963500,91983351169077,2253.036,205.577,1,1
0,92,300,91983351374414,91983353014150,91983353597669,2223.255,583.519,1,1
0,93,300,91983353422033,91983355469282,91983355669470,2247.437,200.188,1,1
0,94,300,91983355885927,91983357926926,91983358128342,2242.415,201.416,1,1
0,95,300,91983358337430,91983360386190,91983360566846,2229.416,180.656,1,1
0,96,300,91983360386190,91983362437840,91983363015159,2628.969,577.319,1,1
0,97,300,91983362841633,91983364890172,91983365089699,2248.066,199.527,1,1
0,98,300,91983365302017,91983367348696,91983367544113,2242.096,195.417,1,1
0,99,300,91983367757139,91983369396865,91983369975104,2217.965,578.239,1,1
0,100,300,91983369806489,91983371854469,91983372068425,2261.936,213.956,1,1
0,101,300,91983372264632,91983374312472,91983374509739,2245.107,197.267,1,1
0,102,300,91983374722586,91983376359241,91983376946571,2223.985,587.330,1,1
0,103,300,91983376769716,91983378817825,91983379032292,2262.576,214.467,1,1
0,104,300,91983379228668,91983381275929,91983381463435,2234.767,187.506,1,1
0,105,300,91983381684472,91983383323538,91983383907188,2222.716,583.650,1,1
0,106,300,91983383731611,91983385780191,91983385979008,2247.397,198.817,1,1
0,107,300,91983386190575,91983388240335,91983388430951,2240.376,190.616,1,1
0,108,300,91983388647298,91983390695978,91983390877954,2230.656,181.976,1,1
0,109,300,91983390695978,91983392742858,91983393319357,2623.379,576.499,1,1
0,110,300,91983393160422,91983395201350,91983395395567,2235.145,194.217,1,1
0,111,300,91983395610975,91983397658764,91983397843050,2232.075,184.286,1,1
0,112,300,91983398070348,91983399706464,91983400282674,2212.326,576.210,1,1
0,113,300,91983400115777,91983402163977,91983402360833,2245.056,196.856,1,1
0,114,300,91983402578601,91983404622400,91983404808916,2230.315,186.516,1,1
0,115,300,91983405036434,91983406670389,91983407259260,2222.826,588.871,1,1
0,116,300,91983407081274,91983409128293,91983409339291,2258.017,210.998,1,1
0,117,300,91983409536297,91983411585077,91983411784573,2248.276,199.496,1,1
0,118,300,91983411996071,91983413633786,91983414230936,2234.865,597.150,1,1
0,119,300,91983414043670,91983416091759,91983416312367,2268.697,220.608,1,1
0,120,300,91983416501944,91983418549493,91983418738500,2236.556,189.007,1,1
0,121,300,91983418957536,91983421015907,91983421203533,2245.997,187.626,1,1
0,122,300,91983421015907,91983423054786,91983423617835,2601.928,563.049,1,1
0,123,300,91983423463940,91983425511139,91983425703606,2239.666,192.467,1,1
0,124,300,91983425920693,91983427969023,91983428185749,2265.056,216.726,1,1
0,125,300,91983428379656,91983430018702,91983430588412,2208.756,569.710,1,1
0,126,300,91983430427466,91983432474626,91983432668752,2241.286,194.126,1,1
0,127,300,91983432885359,91983434938449,91983435135565,2250.206,197.116,1,1
0,128,300,91983435342263,91983436979098,91983437559158,2216.895,580.060,1,1
0,129,300,91983437391443,91983439438002,91983439634549,2243.106,196.547,1,1
0,130,300,91983439847725,91983441898085,91983442096192,2248.467,198.107,1,1
0,131,300,91983442306569,91983443942445,91983444542755,2236.186,600.310,1,1
0,132,300,91983444353648,91983446402208,91983446602195,2248.547,199.987,1,1
0,133,300,91983446810722,91983448859852,91983449073139,2262.417,213.287,1,1
0,134,300,91983449270765,91983451317124,91983451494351,2223.586,177.227,1,1
0,135,300,91983451317124,91983453365135,91983453930124,2613.000,564.989,1,1
0,136,300,91983453776678,91983455822527,91983456024225,2247.547,201.698,1,1
0,137,300,91983456233182,91983458280461,91983458464957,2231.775,184.496,1,1
0,138,300,91983458688915,91983460327320,91983460898470,2209.555,571.150,1,1
0,139,300,91983460737194,91983462784694,91983462979900,2242.706,195.206,1,1
0,140,300,91983463195708,91983465242707,91983465440744,2245.036,198.037,1,1
0,141,300,91983465657371,91983467290696,91983467868567,2211.196,577.871,1,1
0,142,300,91983467701261,91983469747270,91983469944196,2242.935,196.926,1,1
0,143,300,91983470185745,91983472210223,91983472401260,2215.515,191.037,1,1
0,144,300,91983472616998,91983474253863,91983474848043,2231.045,594.180,1,1
0,145,300,91983474664867,91983476716547,91983476918593,2253.726,202.046,1,1
0,146,300,91983477122411,91983479170600,91983479370566,2248.155,199.966,1,1
0,147,300,91983479580113,91983481625933,91983481805709,2225.596,179.776,1,1
0,148,300,91983481625933,91983483674443,91983484262632,2636.699,588.189,1,1
0,149,300,91983484084847,91983486133436,91983486339903,2255.056,206.467,1,1
0,150,300,91983486543289,91983488590080,91983488778776,2235.487,188.696,1,1
0,151,300,91983488999333,91983490638149,91983491218898,2219.565,580.749,1,1
0,152,300,91983491046772,91983493096612,91983493302140,2255.368,205.528,1,1
0,153,300,91983493506116,91983495552425,91983495737622,2231.506,185.197,1,1
0,154,300,91983495969050,91983497601005,91983498191245,2222.195,590.240,1,1
0,155,300,91983498012940,91983500058919,91983500278326,2265.386,219.407,1,1
0,156,300,91983500468182,91983502517462,91983502707188,2239.006,189.726,1,1
0,157,300,91983502925896,91983504563782,91983505179002,2253.106,615.220,1,1
0,158,300,91983504973885,91983507023135,91983507230022,2256.137,206.887,1,1
0,159,300,91983507433208,91983509484908,91983509675034,2241.826,190.126,1,1
0,160,300,91983509888582,91983511941892,91983512129028,2240.446,187.136,1,1
0,161,300,91983511941892,91983513990051,91983514549571,2607.679,559.520,1,1
0,162,300,91983514395635,91983516449325,91983516649141,2253.506,199.816,1,1
0,163,300,91983516852948,91983518899558,91983519092754,2239.806,193.196,1,1
0,164,300,91983519310492,91983520949377,91983521514567,2204.075,565.190,1,1
0,165,300,91983521359401,91983523405600,91983523605597,2246.196,199.997,1,1
0,166,300,91983523815315,91983525864454,91983526049140,2233.825,184.686,1,1
0,167,300,91983526273167,91983527912643,91983528492943,2219.776,580.300,1,1
0,168,300,91983528324917,91983530368797,91983530566113,2241.196,197.316,1,1
0,169,300,91983530779411,91983532827810,91983533025147,2245.736,197.337,1,1
0,170,300,91983533243404,91983534875429,91983535460360,2216.956,584.931,1,1
0,171,300,91983535290124,91983537333413,91983537522450,2232.326,189.037,1,1
0,172,300,91983537741277,91983539790287,91983539980453,2239.176,190.166,1,1
0,173,300,91983540200740,91983542247650,91983542430607,2229.867,182.957,1,1
0,174,300,91983542247650,91983544295289,91983544858309,2610.659,563.020,1,1
0,175,300,91983544704563,91983546753433,91983546936589,2232.026,183.156,1,1
0,176,300,91983547163596,91983549209776,91983549384882,2221.286,175.106,1,1
0,177,300,91983549622020,91983551257836,91983551821365,2199.345,563.529,1,1
0,178,300,91983551668769,91983553721019,91983553916066,2247.297,195.047,1,1
0,179,300,91983554127453,91983556174433,91983556371999,2244.546,197.566,1,1
0,180,300,91983556585696,91983558221522,91983558799991,2214.295,578.469,1,1
0,181,300,91983558632136,91983560680556,91983560888983,2256.847,208.427,1,1
0,182,300,91983561089329,91983563136568,91983563339036,2249.707,202.468,1,1
0,183,300,91983563548193,91983565184268,91983565761308,2213.115,577.040,1,1
0,184,300,91983565596402,91983567641841,91983567841119,2244.717,199.278,1,1
0,185,300,91983568056995,91983570099925,91983570289672,2232.677,189.747,1,1
0,186,300,91983570511299,91983572563418,91983572744444,2233.145,181.026,1,1
0,187,300,91983572563418,91983574606077,91983575174347,2610.929,568.270,1,1
0,188,300,91983575016652,91983577062701,91983577265128,2248.476,202.427,1,1
0,189,300,91983577472475,91983579520415,91983579700341,2227.866,179.926,1,1
0,190,300,91983579931779,91983581568964,91983582133953,2202.174,564.989,1,1
0,191,300,91983581977888,91983584027157,91983584229905,2252.017,202.748,1,1
0,192,300,91983584437252,91983586485681,91983586660836,2223.584,175.155,1,1
0,193,300,91983586893074,91983588531360,91983589120710,2227.636,589.350,1,1
0,194,300,91983588943024,91983590988934,91983591207771,2264.747,218.837,1,1
0,195,300,91983591400698,91983593448317,91983593650214,2249.516,201.897,1,1
0,196,300,91983593858831,91983595499636,91983596088007,2229.176,588.371,1,1
0,197,300,91983595904121,91983597953450,91983598161897,2257.776,208.447,1,1
0,198,300,91983598362113,91983600410754,91983600600909,2238.796,190.155,1,1
0,199,300,91983600821607,91983602868767,91983603048243,2226.636,179.476,1,1
0,200,300,91983602868767,91983604919836,91983605471395,2602.628,551.559,1,1
0,201,300,91983605325750,91983607375260,91983607558796,2233.046,183.536,1,1
0,202,300,91983607783343,91983609830923,91983610019060,2235.717,188.137,1,1
0,203,300,91983610242627,91983611879773,91983612458072,2215.445,578.299,1,1
0,204,300,91983612288686,91983614336525,91983614531292,2242.606,194.767,1,1
0,205,300,91983614747870,91983616793999,91983616979885,2232.015,185.886,1,1
0,206,300,91983617205703,91983618842459,91983619416389,2210.686,573.930,1,1
0,207,300,91983619255442,91983621300882,91983621483208,2227.766,182.326,1,1
0,208,300,91983621709006,91983623758145,91983623948442,2239.436,190.297,1,1
0,209,300,91983624169490,91983625808905,91983626394485,2224.995,585.580,1,1
0,210,300,91983626216399,91983628264628,91983628469305,2252.906,204.677,1,1
0,211,300,91983628672872,91983630723161,91983630915908,2243.036,192.747,1,1
0,212,300,91983631130826,91983633184225,91983633373092,2242.266,188.867,1,1
0,213,300,91983633184225,91983635228224,91983635789913,2605.688,561.689,1,1
0,214,300,91983635635889,91983637684768,91983637887605,2251.716,202.837,1,1
0,215,300,91983638095412,91983640155352,91983640341558,2246.146,186.206,1,1
0,216,300,91983640552995,91983642191081,91983642769711,2216.716,578.630,1,1
0,217,300,91983642599775,91983644646854,91983644837681,2237.906,190.827,1,1
0,218,300,91983645057328,91983647106608,91983647313415,2256.087,206.807,1,1
0,219,300,91983647516501,91983649158818,91983649733867,2217.366,575.049,1,1
0,220,300,91983649565551,91983651611011,91983651808057,2242.506,197.046,1,1
0,221,300,91983652020894,91983654068394,91983654267021,2246.127,198.627,1,1
0,222,300,91983654479937,91983656118513,91983656718744,2238.807,600.231,1,1
0,223,300,91983656531547,91983658575027,91983658775383,2243.836,200.356,1,1
0,224,300,91983658983440,91983661032410,91983661233277,2249.837,200.867,1,1
0,225,300,91983661443114,91983663495554,91983663683240,2240.126,187.686,1,1
0,226,300,91983663495554,91983665537753,91983666109002,2613.448,571.249,1,1
0,227,300,91983665947327,91983667993966,91983668202474,2255.147,208.508,1,1
0,228,300,91983668404760,91983670456460,91983670638647,2233.887,182.187,1,1
0,229,300,91983670862654,91983672501340,91983673079409,2216.755,578.069,1,1
0,230,300,91983672909873,91983674957682,91983675174430,2264.557,216.748,1,1
0,231,300,91983675368437,91983677415596,91983677604363,2235.926,188.767,1,1
0,232,300,91983677826060,91983679464726,91983680049705,2223.645,584.979,1,1
0,233,300,91983679873219,91983681921408,91983682129336,2256.117,207.928,1,1
0,234,300,91983682330903,91983684380132,91983684563488,2232.585,183.356,1,1
0,235,300,91983684789866,91983686427081,91983687031262,2241.396,604.181,1,1
0,236,300,91983686837906,91983688885295,91983689097463,2259.557,212.168,1,1
0,237,300,91983689293839,91983691342628,91983691533485,2239.646,190.857,1,1
0,238,300,91983691750812,91983693800112,91983693982848,2232.036,182.736,1,1
