chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,0,300,91939566919216,91939568959165,91939569241164,2321.948,281.999,1,1
0,1,300,91939569365759,91939571017325,91939571642337,2276.578,625.012,1,1
0,2,300,91939571413979,91939573461688,91939573703466,2289.487,241.778,1,1
0,3,300,91939573873082,91939575923471,91939576170650,2297.568,247.179,1,1
0,4,300,91939576330126,91939578381105,91939578591922,2261.796,210.817,1,1
0,5,300,91939578381105,91939580425974,91939581053105,2672.000,627.131,1,1
0,6,300,91939580835409,91939582883668,91939583151297,2315.888,267.629,1,1
0,7,300,91939583293781,91939585341521,91939585563029,2269.248,221.508,1,1
0,8,300,91939585751815,91939587391840,91939587997171,2245.356,605.331,1,1
0,9,300,91939587797284,91939589844654,91939590085212,2287.928,240.558,1,1
0,10,300,91939590254318,91939592305678,91939592528065,2273.747,222.387,1,1
0,11,300,91939592714261,91939594354617,91939594972208,2257.947,617.591,1,1
0,12,300,91939594760380,91939596808990,91939597060348,2299.968,251.358,1,1
0,13,300,91939597223515,91939599267934,91939599495141,2271.626,227.207,1,1
0,14,300,91939599678617,91939601314613,91939601946934,2268.317,632.321,1,1
0,15,300,91939601733707,91939603772107,91939604023405,2289.698,251.298,1,1
0,16,300,91939604184790,91939606233150,91939606453718,2268.928,220.568,1,1
0,17,300,91939606643484,91939608686323,91939608895690,2252.206,209.367,1,1
0,18,300,91939608686323,91939610737303,91939611342683,2656.360,605.380,1,1
0,19,300,91939611152877,91939613192826,91939613433654,2280.777,240.828,1,1
0,20,300,91939613603680,91939615652019,91939615875888,2272.208,223.869,1,1
0,21,300,91939616063684,91939617702549,91939618317530,2253.846,614.981,1,1
0,22,300,91939618110703,91939620161653,91939620395631,2284.928,233.978,1,1
0,23,300,91939620569316,91939622615986,91939622844784,2275.468,228.798,1,1
0,24,300,91939623024670,91939624663175,91939625290847,2266.177,627.672,1,1
0,25,300,91939625075109,91939627122648,91939627366037,2290.928,243.389,1,1
0,26,300,91939627531383,91939629578652,91939629814580,2283.197,235.928,1,1
0,27,300,91939629990376,91939631627211,91939632265254,2274.878,638.043,1,1
0,28,300,91939632036845,91939634084795,91939634346824,2309.979,262.029,1,1
0,29,300,91939634492939,91939636541548,91939636768716,2275.777,227.168,1,1
0,30,300,91939636951282,91939638996282,91939639224189,2272.907,227.907,1,1
0,31,300,91939638996282,91939641046741,91939641635101,2638.819,588.360,1,1
0,32,300,91939641453235,91939643504985,91939643737242,2284.007,232.257,1,1
0,33,300,91939643912068,91939645961338,91939646202996,2290.928,241.658,1,1
0,34,300,91939646375021,91939648014867,91939648605448,2230.427,590.581,1,1
0,35,300,91939648418841,91939650469281,91939650700029,2281.188,230.748,1,1
0,36,300,91939650876014,91939652923114,91939653136271,2260.257,213.157,1,1
0,37,300,91939653336738,91939654970614,91939655585184,2248.446,614.570,1,1
0,38,300,91939655384317,91939657432607,91939657652805,2268.488,220.198,1,1
0,39,300,91939657839991,91939659887990,91939660107447,2267.456,219.457,1,1
0,40,300,91939660296354,91939661935980,91939662566681,2270.327,630.701,1,1
0,41,300,91939662345843,91939664395844,91939664639332,2293.489,243.488,1,1
