chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,0,300,91837820250955,91837822296214,91837822488821,2237.866,192.607,1,1
0,1,300,91837822705749,91837824344315,91837824926484,2220.735,582.169,1,1
0,2,300,91837824753808,91837826801428,91837826985654,2231.846,184.226,1,1
0,3,300,91837827209872,91837829259021,91837829424837,2214.965,165.816,1,1
0,4,300,91837829668745,91837831715044,91837831879350,2210.605,164.306,1,1
0,5,300,91837831715044,91837833767124,91837834310812,2595.768,543.688,1,1
0,6,300,91837834173328,91837836220427,91837836397494,2224.166,177.067,1,1
0,7,300,91837836635401,91837838678151,91837838835866,2200.465,157.715,1,1
0,8,300,91837839090645,91837840727480,91837841281979,2191.334,554.499,1,1
0,9,300,91837841143954,91837843190304,91837843360800,2216.846,170.496,1,1
0,10,300,91837843594538,91837845646327,91837845805352,2210.814,159.025,1,1
0,11,300,91837846052540,91837847694337,91837848257256,2204.716,562.919,1,1
0,12,300,91837848098551,91837850146760,91837850317536,2218.985,170.776,1,1
0,13,300,91837850558364,91837852604363,91837852765259,2206.895,160.896,1,1
0,14,300,91837853016457,91837854653553,91837855225262,2208.805,571.709,1,1
0,15,300,91837855063517,91837857112266,91837857300862,2237.345,188.596,1,1
0,16,300,91837857520960,91837859568240,91837859731335,2210.375,163.095,1,1
0,17,300,91837859978583,91837862025392,91837862186329,2207.746,160.937,1,1
0,18,300,91837862025392,91837864073333,91837864610721,2585.329,537.388,1,1
0,19,300,91837864483086,91837866530886,91837866702792,2219.706,171.906,1,1
0,20,300,91837866940300,91837868990119,91837869157555,2217.255,167.436,1,1
0,21,300,91837869398743,91837871038089,91837871581557,2182.814,543.468,1,1
0,22,300,91837871447112,91837873496112,91837873663457,2216.345,167.345,1,1
0,23,300,91837873904716,91837875952625,91837876125381,2220.665,172.756,1,1
0,24,300,91837876363389,91837878000395,91837878550904,2187.515,550.509,1,1
0,25,300,91837878409899,91837880460429,91837880629954,2220.055,169.525,1,1
0,26,300,91837880868492,91837882915341,91837883096068,2227.576,180.727,1,1
0,27,300,91837883325796,91837884964191,91837885561441,2235.645,597.250,1,1
0,28,300,91837885385005,91837887420774,91837887606791,2221.786,186.017,1,1
0,29,300,91837887832358,91837889878208,91837890051263,2218.905,173.055,1,1
0,30,300,91837890287592,91837892337231,91837892492217,2204.625,154.986,1,1
0,31,300,91837892337231,91837894383840,91837894917739,2580.508,533.899,1,1
0,32,300,91837894794225,91837896845724,91837897018791,2224.566,173.067,1,1
0,33,300,91837897256108,91837899300198,91837899468324,2212.216,168.126,1,1
0,34,300,91837899715152,91837901347197,91837901900115,2184.963,552.918,1,1
0,35,300,91837901757951,91837903805720,91837903973726,2215.775,168.006,1,1
0,36,300,91837904214574,91837906263284,91837906418489,2203.915,155.205,1,1
0,37,300,91837906672237,91837908312043,91837908872802,2200.565,560.759,1,1
0,38,300,91837908721288,91837910771467,91837910941972,2220.684,170.505,1,1
0,39,300,91837911178220,91837913225620,91837913396906,2218.686,171.286,1,1
0,40,300,91837913635664,91837915273330,91837915856590,2220.926,583.260,1,1
0,41,300,91837915687344,91837917730723,91837917912079,2224.735,181.356,1,1
0,42,300,91837918141216,91837920190107,91837920354652,2213.436,164.545,1,1
0,43,300,91837920599500,91837922650770,91837922824966,2225.466,174.196,1,1
0,44,300,91837922650770,91837924694909,91837925239137,2588.367,544.228,1,1
0,45,300,91837925104493,91837927153663,91837927315838,2211.345,162.175,1,1
0,46,300,91837927562886,91837929614416,91837929770791,2207.905,156.375,1,1
0,47,300,91837930020350,91837931657136,91837932218834,2198.484,561.698,1,1
0,48,300,91837932071029,91837934116078,91837934301445,2230.416,185.367,1,1
0,49,300,91837934526233,91837936574282,91837936753968,2227.735,179.686,1,1
0,50,300,91837936987586,91837938622582,91837939194441,2206.855,571.859,1,1
0,51,300,91837939030876,91837941079755,91837941264832,2233.956,185.077,1,1
0,52,300,91837941487999,91837943536368,91837943718105,2230.106,181.737,1,1
0,53,300,91837943946423,91837945584617,91837946179298,2232.875,594.681,1,1
0,54,300,91837945995002,91837948042621,91837948244688,2249.686,202.067,1,1
0,55,300,91837948452875,91837950499885,91837950675570,2222.695,175.685,1,1
0,56,300,91837950908408,91837952957908,91837953130074,2221.666,172.166,1,1
0,57,300,91837952957908,91837955013048,91837955551526,2593.618,538.478,1,1
0,58,300,91837955415462,91837957463541,91837957633687,2218.225,170.146,1,1
0,59,300,91837957872394,91837959919525,91837960106761,2234.367,187.236,1,1
0,60,300,91837960330068,91837961969254,91837962524913,2194.845,555.659,1,1
0,61,300,91837962381708,91837964425277,91837964604363,2222.655,179.086,1,1
0,62,300,91837964836121,91837966882971,91837967071887,2235.766,188.916,1,1
0,63,300,91837967293624,91837968930940,91837969497229,2203.605,566.289,1,1
0,64,300,91837969342424,91837971390514,91837971574110,2231.686,183.596,1,1
0,65,300,91837971798107,91837973846697,91837974026203,2228.096,179.506,1,1
0,66,300,91837974255631,91837975895666,91837976463275,2207.644,567.609,1,1
0,67,300,91837976305740,91837978353420,91837978534796,2229.056,181.376,1,1
0,68,300,91837978763523,91837980809183,91837980982159,2218.636,172.976,1,1
0,69,300,91837981220807,91837983267586,91837983433582,2212.775,165.996,1,1
0,70,300,91837983267586,91837985314716,91837985860524,2592.938,545.808,1,1
0,71,300,91837985726420,91837987772929,91837987947416,2220.996,174.487,1,1
0,72,300,91837988182303,91837990230153,91837990398308,2216.005,168.155,1,1
0,73,300,91837990639687,91837992278513,91837992831311,2191.624,552.798,1,1
0,74,300,91837992688426,91837994735915,91837994916762,2228.336,180.847,1,1
0,75,300,91837995146080,91837997194089,91837997372635,2226.555,178.546,1,1
0,76,300,91837997602862,91837999243089,91837999793657,2190.795,550.568,1,1
0,77,300,91837999652602,91838001705632,91838001885488,2232.886,179.856,1,1
0,78,300,91838002109926,91838004158575,91838004338372,2228.446,179.797,1,1
0,79,300,91838004567290,91838006208235,91838006787774,2220.484,579.539,1,1
0,80,300,91838006615709,91838008663528,91838008845234,2229.525,181.706,1,1
0,81,300,91838009072262,91838011120851,91838011303458,2231.196,182.607,1,1
0,82,300,91838011529695,91838013577245,91838013740050,2210.355,162.805,1,1
0,83,300,91838013577245,91838015625464,91838016191473,2614.228,566.009,1,1
0,84,300,91838016037439,91838018082938,91838018268464,2231.025,185.526,1,1
0,85,300,91838018494441,91838020542791,91838020714607,2220.166,171.816,1,1
0,86,300,91838020950745,91838022589061,91838023164960,2214.215,575.899,1,1
0,87,300,91838022998964,91838025047014,91838025231970,2233.006,184.956,1,1
0,88,300,91838025455698,91838027505658,91838027664013,2208.315,158.355,1,1
0,89,300,91838027914611,91838029553627,91838030130346,2215.735,576.719,1,1
0,90,300,91838029962090,91838032010960,91838032210537,2248.447,199.577,1,1
0,91,300,91838032419584,91838034467843,91838034638289,2218.705,170.446,1,1
0,92,300,91838034877808,91838036517013,91838037084352,2206.544,567.339,1,1
0,93,300,91838036924577,91838038975257,91838039179883,2255.306,204.626,1,1
0,94,300,91838039382320,91838041432330,91838041604726,2222.406,172.396,1,1
0,95,300,91838041840884,91838043890803,91838044062249,2221.365,171.446,1,1
0,96,300,91838043890803,91838045936593,91838046491362,2600.559,554.769,1,1
