chain,seq,length,t_first_ns,t_last_ns,t_decode_ns,lat_first_us,lat_last_us,decoded,correct
0,0,300,91794202438231,91794204477241,91794204684267,2246.036,207.026,1,1
0,1,300,91794204884704,91794206527380,91794207126780,2242.076,599.400,1,1
0,2,300,91794206936253,91794208979223,91794209191871,2255.618,212.648,1,1
0,3,300,91794209391927,91794211441337,91794211613993,2222.066,172.656,1,1
0,4,300,91794211851961,91794213897300,91794214065096,2213.135,167.796,1,1
0,5,300,91794213897300,91794215942279,91794216510899,2613.599,568.620,1,1
0,6,300,91794216358213,91794218400273,91794218596199,2237.986,195.926,1,1
0,7,300,91794218812957,91794220860436,91794221044072,2231.115,183.636,1,1
0,8,300,91794221276580,91794222908095,91794223470664,2194.084,562.569,1,1
0,9,300,91794223321290,91794225369399,91794225554546,2233.256,185.147,1,1
0,10,300,91794225775603,91794227824272,91794227995988,2220.385,171.716,1,1
0,11,300,91794228233276,91794229871012,91794230445351,2212.075,574.339,1,1
0,12,300,91794230279076,91794232327465,91794232515111,2236.035,187.646,1,1
0,13,300,91794232740990,91794234785589,91794234955235,2214.245,169.646,1,1
0,14,300,91794235197872,91794236839729,91794237421228,2223.356,581.499,1,1
0,15,300,91794237243772,91794239291082,91794239481048,2237.276,189.966,1,1
0,16,300,91794239705736,91794241748735,91794241929791,2224.055,181.056,1,1
0,17,300,91794242156919,91794244206599,91794244377414,2220.495,170.815,1,1
0,18,300,91794244206599,91794246253208,91794246810136,2603.537,556.928,1,1
0,19,300,91794246668162,91794248715431,91794248908728,2240.566,193.297,1,1
0,20,300,91794249125025,91794251171605,91794251345701,2220.676,174.096,1,1
0,21,300,91794251579289,91794253220244,91794253781283,2201.994,561.039,1,1
0,22,300,91794253628488,91794255673377,91794255857373,2228.885,183.996,1,1
0,23,300,91794256087081,91794258143931,91794258327107,2240.026,183.176,1,1
0,24,300,91794258541685,91794260184880,91794260749859,2208.174,564.979,1,1
0,25,300,91794260594504,91794262639754,91794262825910,2231.406,186.156,1,1
0,26,300,91794263048618,91794265094057,91794265292933,2244.315,198.876,1,1
0,27,300,91794265508911,91794267146227,91794267727326,2218.415,581.099,1,1
0,28,300,91794267553370,91794269600890,91794269800697,2247.327,199.807,1,1
0,29,300,91794270023824,91794272058673,91794272251780,2227.956,193.107,1,1
0,30,300,91794272469748,91794274516747,91794274687003,2217.255,170.256,1,1
0,31,300,91794274516747,91794276564796,91794277121585,2604.838,556.789,1,1
0,32,300,91794276972350,91794279021260,91794279209376,2237.026,188.116,1,1
0,33,300,91794279432934,91794281483603,91794281657569,2224.635,173.966,1,1
0,34,300,91794281891026,91794283526602,91794284089451,2198.425,562.849,1,1
0,35,300,91794283940137,91794285987706,91794286177353,2237.216,189.647,1,1
0,36,300,91794286398830,91794288443229,91794288607805,2208.975,164.576,1,1
0,37,300,91794288850933,91794290491919,91794291072999,2222.066,581.080,1,1
0,38,300,91794290904253,91794292946952,91794293138058,2233.805,191.106,1,1
0,39,300,91794293360297,91794295409536,91794295579082,2218.785,169.546,1,1
0,40,300,91794295813889,91794297453435,91794298036525,2222.636,583.090,1,1
0,41,300,91794297864739,91794299909879,91794300114685,2249.946,204.806,1,1
0,42,300,91794300320572,91794302371672,91794302541038,2220.466,169.366,1,1
0,43,300,91794302783875,91794304828536,91794305019822,2235.947,191.286,1,1
0,44,300,91794304828536,91794306878615,91794307428673,2600.137,550.058,1,1
0,45,300,91794307286048,91794309333268,91794309516064,2230.016,182.796,1,1
0,46,300,91794309740962,91794311792681,91794311965538,2224.576,172.857,1,1
0,47,300,91794312199815,91794313840701,91794314400350,2200.535,559.649,1,1
0,48,300,91794314251204,91794316299765,91794316483871,2232.667,184.106,1,1
0,49,300,91794316705828,91794318754337,91794318940433,2234.605,186.096,1,1
0,50,300,91794319161932,91794320803227,91794321368326,2206.394,565.099,1,1
0,51,300,91794321212381,91794323264031,91794323446097,2233.716,182.066,1,1
0,52,300,91794323667145,91794325715364,91794325904640,2237.495,189.276,1,1
0,53,300,91794326127868,91794327767894,91794328340002,2212.134,572.108,1,1
0,54,300,91794328176727,91794330221367,91794330421203,2244.476,199.836,1,1
0,55,300,91794330632421,91794332678220,91794332856426,2224.005,178.206,1,1
0,56,300,91794333090384,91794335144853,91794335315959,2225.575,171.106,1,1
0,57,300,91794335144853,91794337187883,91794337739891,2595.038,552.008,1,1
