tag,dir,N,workers,receivers,rate,policy,traced,rep,target,kind,rc,analysis_rc,wall_s
probe_N1024_t1_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/probe_N1024_t1_r1_rate2500000_rr_trace_rep0,1024,1,1,2500000,rr,True,0,,probe,0,0,86.5
probe_N2048_t1_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/probe_N2048_t1_r1_rate2500000_rr_trace_rep0,2048,1,1,2500000,rr,True,0,,probe,0,0,86.3
probe_N4096_t1_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/probe_N4096_t1_r1_rate2500000_rr_trace_rep0,4096,1,1,2500000,rr,True,0,,probe,0,0,86.2
target_N1024_t1_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r1_rate2500000_rr_trace_rep0,1024,1,1,2500000,rr,True,0,"0.3,0.5",target,0,0,86.2
target_N1024_t1_r1_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r1_rate2500000_edf_trace_rep0,1024,1,1,2500000,edf,True,0,"0.3,0.5",target,0,0,76.8
target_N1024_t1_r1_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r1_rate2500000_rm_trace_rep0,1024,1,1,2500000,rm,True,0,"0.3,0.5",target,0,0,85.5
target_N1024_t1_r1_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r1_rate5000000_rr_trace_rep0,1024,1,1,5000000,rr,True,0,0.7,target,0,0,86.6
target_N1024_t1_r1_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r1_rate5000000_edf_trace_rep0,1024,1,1,5000000,edf,True,0,0.7,target,0,0,79.0
target_N1024_t1_r1_rate5000000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r1_rate5000000_rm_trace_rep0,1024,1,1,5000000,rm,True,0,0.7,target,0,0,83.3
target_N1024_t1_r3_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r3_rate2500000_rr_trace_rep0,1024,1,3,2500000,rr,True,0,"0.85,0.95",target,0,0,93.0
target_N1024_t1_r3_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r3_rate2500000_edf_trace_rep0,1024,1,3,2500000,edf,True,0,"0.85,0.95",target,0,0,90.2
target_N1024_t1_r3_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t1_r3_rate2500000_rm_trace_rep0,1024,1,3,2500000,rm,True,0,"0.85,0.95",target,0,0,142.0
target_N1024_t2_r1_rate2500000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r1_rate2500000_rr_trace_rep0,1024,2,1,2500000,rr,True,0,0.3,target,0,0,127.3
target_N1024_t2_r1_rate2500000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r1_rate2500000_edf_trace_rep0,1024,2,1,2500000,edf,True,0,0.3,target,0,0,80.5
target_N1024_t2_r1_rate2500000_rm_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r1_rate2500000_rm_trace_rep0,1024,2,1,2500000,rm,True,0,0.3,target,0,0,111.5
target_N1024_t2_r1_rate5000000_rr_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r1_rate5000000_rr_trace_rep0,1024,2,1,5000000,rr,True,0,0.5,target,0,0,110.9
target_N1024_t2_r1_rate5000000_edf_trace_rep0,data/rt_300_300_102934_QPSK_1_2_s1/runs4/sweep-x86-8core/target_N1024_t2_r1_rate5000000_edf_trace_rep0,1024,2,1,5000000,edf,True,0,0.5,target,0,0,83.1
